rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Силуети,SadSvit,[],,,,[],,,,,,,spotify_country_chart_streams,21783297.0,streams,21783297,Spotify regional daily chart (Kworb aggregate),,,61BaxM1NIcadLu3gtWm2uT,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1362,""top10_days"":565,""peak_rank"":1,""peak_occurrences"":122,""peak_daily_streams"":41168,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Касета,SadSvit,[],,,,[],,,,,,,spotify_country_chart_streams,16678398.0,streams,16678398,Spotify regional daily chart (Kworb aggregate),,,4MQmxIxM5CXKjdq4IrCWhd,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1555,""top10_days"":181,""peak_rank"":1,""peak_occurrences"":17,""peak_daily_streams"":48267,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,16369197.0,streams,16369197,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2120,""top10_days"":null,""peak_rank"":14,""peak_occurrences"":null,""peak_daily_streams"":15119,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,ЛАБИРИНТ,FACE,[],,,,[],,,,,,,spotify_country_chart_streams,12071343.0,streams,12071343,Spotify regional daily chart (Kworb aggregate),,,7biChppM3c8q7qcVl7ceb2,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1549,""top10_days"":13,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":16160,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Крепче,KRBK,[],,,,[],,,,,,,spotify_country_chart_streams,12049001.0,streams,12049001,Spotify regional daily chart (Kworb aggregate),,,6bCLkzoE3agC7Ws9NxVxIn,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1247,""top10_days"":79,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":19595,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Smells Like Teen Spirit - Remastered,Nirvana,[],,,,[],,,,,,,spotify_country_chart_streams,11629091.0,streams,11629091,Spotify regional daily chart (Kworb aggregate),,,0gucTLf7trAf37Ua1uAyAu,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1700,""top10_days"":null,""peak_rank"":33,""peak_occurrences"":null,""peak_daily_streams"":9966,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Lost Angeles,FRIENDLY THUG 52 NGG,[],,,,[],,,,,,,spotify_country_chart_streams,11409460.0,streams,11409460,Spotify regional daily chart (Kworb aggregate),,,11gTRcdz4wK32fghA2vrX7,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":962,""top10_days"":165,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":25357,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Нагадай,Domiy,[],,,,[],,,,,,,spotify_country_chart_streams,11184673.0,streams,11184673,Spotify regional daily chart (Kworb aggregate),,,2k1bI9pRGnUQZWhr3NmJBx,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":837,""top10_days"":108,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":22621,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Молодість,SadSvit,[],,,,[],,,,,,,spotify_country_chart_streams,11170902.0,streams,11170902,Spotify regional daily chart (Kworb aggregate),,,0wpkj8A7T1CjIul0XQtkqK,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1477,""top10_days"":42,""peak_rank"":3,""peak_occurrences"":6,""peak_daily_streams"":31800,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Погляд,YAKTAK,[],,,,[],,,,,,,spotify_country_chart_streams,11006003.0,streams,11006003,Spotify regional daily chart (Kworb aggregate),,,66Xj2OpnDALdW0G509b9yY,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for UA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-07-20.","{""country_code"":""UA"",""country_name"":""UA"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1005,""top10_days"":218,""peak_rank"":1,""peak_occurrences"":42,""peak_daily_streams"":30989,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
