rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Силуети,SadSvit,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,22134756.0,streams,22134756,Spotify regional daily chart (Kworb aggregate),,,61BaxM1NIcadLu3gtWm2uT,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1415,""top10_days"":565,""peak_rank"":1,""peak_occurrences"":122,""peak_daily_streams"":41168,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Касета,SadSvit,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17087650.0,streams,17087650,Spotify regional daily chart (Kworb aggregate),,,4MQmxIxM5CXKjdq4IrCWhd,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1608,""top10_days"":181,""peak_rank"":1,""peak_occurrences"":17,""peak_daily_streams"":48267,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Sweater Weather,The Neighbourhood,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,16791696.0,streams,16791696,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2173,""top10_days"":null,""peak_rank"":14,""peak_occurrences"":null,""peak_daily_streams"":15119,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,ЛАБИРИНТ,FACE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12521015.0,streams,12521015,Spotify regional daily chart (Kworb aggregate),,,7biChppM3c8q7qcVl7ceb2,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1602,""top10_days"":13,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":16160,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Крепче,KRBK,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12186982.0,streams,12186982,Spotify regional daily chart (Kworb aggregate),,,6bCLkzoE3agC7Ws9NxVxIn,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1272,""top10_days"":79,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":19595,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Smells Like Teen Spirit - Remastered,Nirvana,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12110607.0,streams,12110607,Spotify regional daily chart (Kworb aggregate),,,0gucTLf7trAf37Ua1uAyAu,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1753,""top10_days"":null,""peak_rank"":33,""peak_occurrences"":null,""peak_daily_streams"":10231,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Нагадай,Domiy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,11709404.0,streams,11709404,Spotify regional daily chart (Kworb aggregate),,,2k1bI9pRGnUQZWhr3NmJBx,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":890,""top10_days"":108,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":22621,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Lost Angeles,FRIENDLY THUG 52 NGG,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,11577314.0,streams,11577314,Spotify regional daily chart (Kworb aggregate),,,11gTRcdz4wK32fghA2vrX7,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":989,""top10_days"":165,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":25357,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Молодість,SadSvit,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,11489990.0,streams,11489990,Spotify regional daily chart (Kworb aggregate),,,0wpkj8A7T1CjIul0XQtkqK,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1530,""top10_days"":42,""peak_rank"":3,""peak_occurrences"":6,""peak_daily_streams"":31800,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Погляд,YAKTAK,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,11044526.0,streams,11044526,Spotify regional daily chart (Kworb aggregate),,,66Xj2OpnDALdW0G509b9yY,,,https://kworb.net/spotify/country/ua_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ukraine, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2026-09-11.","{""country_code"":""UA"",""country_name"":""Ukraine"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1012,""top10_days"":218,""peak_rank"":1,""peak_occurrences"":42,""peak_daily_streams"":30989,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
