rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,No Role Modelz,J. Cole,[],,,,[],,,,,,,spotify_country_chart_streams,1324304319.0,streams,1324304319,Spotify regional daily chart (Kworb aggregate),,,68Dni7IE4VyPkTOH9mRWHr,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3768,""top10_days"":6,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":870221,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,[],,,,[],,,,,,,spotify_country_chart_streams,1195617020.0,streams,1195617020,Spotify regional daily chart (Kworb aggregate),,,0RiRZpuVRbi7oqRdSMwhQY,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2295,""top10_days"":302,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":2118242,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,1110346383.0,streams,1110346383,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2350,""top10_days"":10,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":855759,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,See You Again,"Tyler, The Creator",[],,,,[],,,,,,,spotify_country_chart_streams,947847869.0,streams,947847869,Spotify regional daily chart (Kworb aggregate),,,7KA4W4McWYRpgf0fWsJZWB,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1863,""top10_days"":64,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":1186223,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Something in the Orange,Zach Bryan,[],,,,[],,,,,,,spotify_country_chart_streams,938367873.0,streams,938367873,Spotify regional daily chart (Kworb aggregate),,,3WMj8moIAXJhHsyLaqIIHI,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1546,""top10_days"":24,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":1001841,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Lucid Dreams,Juice WRLD,[],,,,[],,,,,,,spotify_country_chart_streams,925936984.0,streams,925936984,Spotify regional daily chart (Kworb aggregate),,,285pBltuF7vW8TeWk8hdRR,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1848,""top10_days"":178,""peak_rank"":1,""peak_occurrences"":20,""peak_daily_streams"":2127668,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Last Night,Morgan Wallen,[],,,,[],,,,,,,spotify_country_chart_streams,908110510.0,streams,908110510,Spotify regional daily chart (Kworb aggregate),,,7K3BhSpAxZBznislvUMVtn,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1223,""top10_days"":244,""peak_rank"":1,""peak_occurrences"":56,""peak_daily_streams"":3143730,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Mr. Brightside,The Killers,[],,,,[],,,,,,,spotify_country_chart_streams,836602808.0,streams,836602808,Spotify regional daily chart (Kworb aggregate),,,003vvx7Niy0yvhvHt4a68B,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2150,""top10_days"":19,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":992961,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,HUMBLE.,Kendrick Lamar,[],,,,[],,,,,,,spotify_country_chart_streams,831447012.0,streams,831447012,Spotify regional daily chart (Kworb aggregate),,,7KXjTSCq5nL1LoYtL7XAwS,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1749,""top10_days"":152,""peak_rank"":1,""peak_occurrences"":67,""peak_daily_streams"":4060034,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,I Remember Everything,Zach Bryan,[],,,,[],,,,,,,spotify_country_chart_streams,821175198.0,streams,821175198,Spotify regional daily chart (Kworb aggregate),,,4KULAymBBJcPRpk1yO4dOG,,,https://kworb.net/spotify/country/us_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for US, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""US"",""country_name"":""US"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1059,""top10_days"":191,""peak_rank"":1,""peak_occurrences"":7,""peak_daily_streams"":2496753,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
