rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,La Bachata,Manuel Turizo,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17181555.0,streams,17181555,Spotify regional daily chart (Kworb aggregate),,,3tt9i3Hhzq84dPS8H7iSiJ,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1342,""top10_days"":227,""peak_rank"":1,""peak_occurrences"":115,""peak_daily_streams"":52099,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Un Finde | CROSSOVER #2,Big One,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,13999851.0,streams,13999851,Spotify regional daily chart (Kworb aggregate),,,3tiJUOfAEqIrLFRQgGgdoY,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":960,""top10_days"":208,""peak_rank"":1,""peak_occurrences"":52,""peak_daily_streams"":66035,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,La Morocha,Luck Ra,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,13407731.0,streams,13407731,Spotify regional daily chart (Kworb aggregate),,,6vRQqxOhUFd78p5tL8jXr7,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":951,""top10_days"":192,""peak_rank"":1,""peak_occurrences"":59,""peak_daily_streams"":89565,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Rara Vez,Taiu,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12824735.0,streams,12824735,Spotify regional daily chart (Kworb aggregate),,,7MVIfkyzuUmQ716j8U7yGR,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1251,""top10_days"":86,""peak_rank"":2,""peak_occurrences"":2,""peak_daily_streams"":36030,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12716929.0,streams,12716929,Spotify regional daily chart (Kworb aggregate),,,2tTmW7RDtMQtBk7m2rYeSw,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":664,""top10_days"":203,""peak_rank"":1,""peak_occurrences"":66,""peak_daily_streams"":81221,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,A las Nueve,No Te Va Gustar,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12605870.0,streams,12605870,Spotify regional daily chart (Kworb aggregate),,,0CgpCtEPvyDizcg2p47VrU,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2968,""top10_days"":null,""peak_rank"":24,""peak_occurrences"":null,""peak_daily_streams"":17610,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Miénteme,TINI,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12328796.0,streams,12328796,Spotify regional daily chart (Kworb aggregate),,,0cOa970mzTWAxKtltpkpLc,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1352,""top10_days"":153,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":48717,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Piel,Tiago PZK,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12140348.0,streams,12140348,Spotify regional daily chart (Kworb aggregate),,,6kPCcIAGoTeRrh8qrmKa90,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":903,""top10_days"":259,""peak_rank"":1,""peak_occurrences"":7,""peak_daily_streams"":46342,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,En la Intimidad,Big One,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,11884919.0,streams,11884919,Spotify regional daily chart (Kworb aggregate),,,7w7BrPbOjF5OxChs2dxFve,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":780,""top10_days"":201,""peak_rank"":1,""peak_occurrences"":36,""peak_daily_streams"":56360,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,La Plena - W Sound 05,W Sound,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,11519525.0,streams,11519525,Spotify regional daily chart (Kworb aggregate),,,6iOndD4OFo7GkaDypWQIou,,,https://kworb.net/spotify/country/uy_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Uruguay, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""UY"",""country_name"":""Uruguay"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":568,""top10_days"":363,""peak_rank"":1,""peak_occurrences"":123,""peak_daily_streams"":48711,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
