rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Seven,Jung Kook,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,362009416.0,streams,362009416,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1156,""top10_days"":1155,""peak_rank"":1,""peak_occurrences"":790,""peak_daily_streams"":1139605,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":211561.0,""metric_unit"":""streams"",""listen_count"":211561,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/vn_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/vn_daily_totals.html""],""country_rank"":1}"
2,Standing Next to You,Jung Kook,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,116167905.0,streams,116167905,Spotify regional daily chart (Kworb aggregate),,,2KslE17cAJNHTsI2MI0jb2,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1031,""top10_days"":489,""peak_rank"":1,""peak_occurrences"":78,""peak_daily_streams"":413893,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,3D,Jung Kook,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,96635424.0,streams,96635424,Spotify regional daily chart (Kworb aggregate),,,01qFKNWq73UfEslI0GvumE,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1058,""top10_days"":492,""peak_rank"":2,""peak_occurrences"":135,""peak_daily_streams"":569400,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Who,Jimin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,87818434.0,streams,87818434,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":541,""top10_days"":246,""peak_rank"":1,""peak_occurrences"":61,""peak_daily_streams"":1066470,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Chuyện Đôi Ta,Emcee L (Da LAB),[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,86563160.0,streams,86563160,Spotify regional daily chart (Kworb aggregate),,,4CUvVaAYuXtvYURLFz7EIL,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1745,""top10_days"":252,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":87800,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Exit Sign,HIEUTHUHAI,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,84641766.0,streams,84641766,Spotify regional daily chart (Kworb aggregate),,,4nXrVH5xwN1w6TpmP7uu8n,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":920,""top10_days"":549,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":205802,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":6965681.0,""metric_unit"":""streams"",""listen_count"":6965681,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/vn_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/vn_daily_totals.html""],""country_rank"":6}"
7,Like Crazy,Jimin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,80312201.0,streams,80312201,Spotify regional daily chart (Kworb aggregate),,,3Ua0m0YmEjrMi9XErKcNiR,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":529,""top10_days"":461,""peak_rank"":1,""peak_occurrences"":83,""peak_daily_streams"":446602,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Không Thể Say,HIEUTHUHAI,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,77084057.0,streams,77084057,Spotify regional daily chart (Kworb aggregate),,,1K0HQ30Wc11okzlcnFA7Ub,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1242,""top10_days"":45,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":142991,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,nếu lúc đó,tlinh,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,72033516.0,streams,72033516,Spotify regional daily chart (Kworb aggregate),,,4exlWP8cokkWVCvyP3kg7c,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1290,""top10_days"":213,""peak_rank"":1,""peak_occurrences"":17,""peak_daily_streams"":256080,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Vì Anh Đâu Có Biết,Madihu,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,71928511.0,streams,71928511,Spotify regional daily chart (Kworb aggregate),,,6VXVYATpQXEIoZ97NnWCmn,,,https://kworb.net/spotify/country/vn_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Vietnam, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""VN"",""country_name"":""Vietnam"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1500,""top10_days"":291,""peak_rank"":2,""peak_occurrences"":10,""peak_daily_streams"":81046,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
