rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Closer,The Chainsmokers,[],Closer,7/29/2016,2016,"[""dance"",""electro"",""house"",""edm"",""pop""]","[""und""]",,,,,,,spotify_streams,3808321323.0,streams,3808321323,Spotify,,213.7837882365751,7crMiinWx373rNBZBaVske,,USQX91601347,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""dance"",""electro"",""house"",""edm"",""pop""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
2,Something Just Like This,The Chainsmokers,[],Something Just Like This,2/22/2017,2017,"[""dance"",""pop"",""electro"",""house"",""edm""]","[""und""]",,,,,,,spotify_streams,3713218025.0,streams,3713218025,Spotify,,211.62280727075108,6RUKPb4LETWmmr3iAEQktW,,USQX91700278,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""dance"",""pop"",""electro"",""house"",""edm""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
3,Let Me Love You,DJ Snake,[],Encore,8/5/2016,2016,"[""pop"",""edm"",""electronic"",""dance"",""electro""]","[""und""]",,,,,,,spotify_streams,3150871157.0,streams,3150871157,Spotify,,210.18759364418295,5Qjv35Ja2TDt9CXRRo51hh,,QMZSY1600015,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""pop"",""edm"",""electronic"",""dance"",""electro""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
4,bad guy,Billie Eilish,[],"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3/29/2019,2019,"[""pop"",""electro""]","[""und""]",,,,,,,spotify_streams,2953259901.0,streams,2953259901,Spotify,,209.69386921877546,6DBdYfd4EkR6cUPSqtEwhQ,,USUM71900764,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""pop"",""electro""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
5,This Is What You Came For,Calvin Harris,[],This Is What You Came For,4/29/2016,2016,"[""house"",""dance"",""electro"",""progressive-house""]","[""und""]",,,,,,,spotify_streams,2339226455.0,streams,2339226455,Spotify,,208.18664763172694,2ON6Pa8VnQGzsm4qVcr66u,,GBARL1600460,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""house"",""dance"",""electro"",""progressive-house""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
6,Without Me,Halsey,[],Without Me,10/4/2018,2018,"[""indie-pop"",""pop"",""indie"",""electro"",""dance""]","[""und""]",,,,,,,spotify_streams,2561875594.0,streams,2561875594,Spotify,,207.98383979787997,7MhNCT34oaLIxwAsZlZd67,,USUM71813499,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""indie-pop"",""pop"",""indie"",""electro"",""dance""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
7,Don't Let Me Down,The Chainsmokers,[],Pop Party,1/1/2016,2016,"[""house"",""electro"",""dance"",""edm""]","[""und""]",,,,,,,spotify_streams,2449398920.0,streams,2449398920,Spotify,,207.43380543011952,1i1fxkWeaMmKEB4T7zqbzK,,USQX91600011,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""house"",""electro"",""dance"",""edm""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
8,Happier,Marshmello,[],Happier - Single,8/16/2018,2018,"[""pop"",""progressive-house"",""dance"",""edm"",""electro"",""house""]","[""und""]",,,,,,,spotify_streams,2654581031.0,streams,2654581031,Spotify,,207.34498434600934,7rEyuDLXANN4bIqoue8n1e,,USUG11801651,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""pop"",""progressive-house"",""dance"",""edm"",""electro"",""house""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
9,Summer,Calvin Harris,[],Todo Exitos 2014 (Los N��mero 1 Del A,1/1/2014,2014,"[""electro"",""['dance pop'"",""'edm'"",""'electro house'"",""'house'"",""'pop'"",""'pop dance'"",""'progressive house'"",""'uk dance']"",""progressive-house"",""house""]","[""und""]",,,,,,,spotify_streams,2155847698.0,streams,2155847698,Spotify,,207.33380727958473,7b71WsDLb8gG0cSyDTFAEW,,GBARL1400296,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""electro"",""['dance pop'"",""'edm'"",""'electro house'"",""'house'"",""'pop'"",""'pop dance'"",""'progressive house'"",""'uk dance']"",""progressive-house"",""house""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
10,goosebumps,Travis Scott,[],Birds In The Trap Sing McKnight,9/16/2016,2016,"[""house"",""hip-hop""]","[""und""]",,,,,,,spotify_streams,3178757599.0,streams,3178757599,Spotify,,206.56179972483935,6gBFPUFcJLzWGx4lenP6h2,,USSM11607555,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""house"",""hip-hop""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
