rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,SugarCrash!,ElyOtto,[],SugarCrash!,8/25/2020,2020,"[""['hyperpop'"",""'weirdcore']""]","[""und""]",,,,,,,spotify_streams_snapshot,364210672.0,streams,364210672,Spotify,,171.05255606243708,3FxPbp05KjMBa4HbhAJTH0,,TCAFB2092742,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['hyperpop'"",""'weirdcore']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
2,#BrooklynBloodPop!,SyKo,[],#BrooklynBloodPop!,7/27/2020,2020,"[""['glitchcore'"",""'sped up']""]","[""und""]",,,,,,,spotify_streams_snapshot,289085486.0,streams,289085486,Spotify,,168.11733657107604,7K9Z3yFNNLv5kwTjQYGjnu,,QZK6Q2049800,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['glitchcore'"",""'sped up']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
3,Nira Ishq,Guri,[],Nira Ishq,2/21/2019,2019,"[""pop"",""['desi hip hop'"",""'doujin'"",""'punjabi pop']"",""hip-hop""]","[""und""]",,,,,,,spotify_streams_snapshot,102266938.0,streams,102266938,Spotify,,165.7598966844531,0Id2IzhR3w50aP2PHfMUE3,,FR10S1963992,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""pop"",""['desi hip hop'"",""'doujin'"",""'punjabi pop']"",""hip-hop""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
4,ALL MY FELLAS,Frizk,[],ALL MY FELLAS,9/19/2023,2023,"[""['meme']""]","[""und""]",,,,,,,spotify_streams_snapshot,56978899.0,streams,56978899,Spotify,,155.83061161416643,1ckhUtD8nBH2ShPlU8w2nU,,QZTAZ2359846,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['meme']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
5,Monkeys Spinning Monkeys,Kevin MacLeod,[],SteamFun - Single,5/16/2011,2011,"[""['meme'"",""'sillycore']""]","[""und""]",,,,,,,spotify_streams_snapshot,11477477.0,streams,11477477,Spotify,,137.7640053938402,0OSrTTixauWJ0qYeREhOih,,USUAN1400011,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['meme'"",""'sillycore']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
6,One Way!,Autumn!,[],,,2022,"[""['emoplugg'"",""'glitchcore'"",""'plugg'"",""'pluggnb']""]","[""und""]",,,,,,,spotify_chart_streams_snapshot,1134385.0,streams,1134385,Spotify,,83.29760858036218,7hBdcBgzK0Adp6ahUg58Y2,,,data/raw/spotify_top10000_streamed_songs_2023.csv,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['emoplugg'"",""'glitchcore'"",""'plugg'"",""'pluggnb']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
7,FRESH,NXVAMANE,[],FRESH,2023-02-24,2023,"[""['gym phonk']""]","[""und""]",,,,,,,spotify_popularity,77.0,score_0_100,,,,26.95,4hcnbu7PdISGGj82ZuDpFQ,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['gym phonk']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
8,YUM YUM,LXNGVX,[],YUM YUM,2023-06-23,2023,"[""['gym phonk'"",""'krushfunk']""]","[""und""]",,,,,,,spotify_popularity,76.0,score_0_100,,,,26.599999999999998,0R902FnwJO8kBZYvtpQLrL,,,https://doi.org/10.5281/zenodo.11453410,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['gym phonk'"",""'krushfunk']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
9,Ashi Ashi,6YNTHMANE,[],Ashi Ashi,2024-01-24,2024,"[""['aggressive phonk'"",""'polish phonk']""]","[""und""]",,,,,,,spotify_popularity,75.0,score_0_100,,,,26.25,6qlnqjooo2LfPr0FLbWsbQ,,,https://doi.org/10.5281/zenodo.11453410,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['aggressive phonk'"",""'polish phonk']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
10,Sequência da Dz7,TRASHXRL,[],Sequência da Dz7,2023-05-07,2023,"[""['phonk brasileiro']""]","[""und""]",,,,,,,spotify_popularity,74.0,score_0_100,,,,25.9,0hEjvk5rMwLzt9rUcFmZG7,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""internet_native"",""matched_source_genres"":[""['phonk brasileiro']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
