rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,September,"Earth, Wind & Fire",[],,,1978,"[""disco"",""jazz"",""['disco'"",""'funk'"",""'jazz funk'"",""'soul']"",""soul"",""funk""]","[""und""]",,,,,,,spotify_streams,2378882243.0,streams,2378882243,Spotify,,140.87152209636974,7zUogmz7vHIVvsOSuSynKL,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""disco"",""jazz"",""['disco'"",""'funk'"",""'jazz funk'"",""'soul']"",""soul"",""funk""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
2,Let's Groove,"Earth, Wind & Fire",[],Disco 100,2009-09-25,1981,"[""soul"",""funk"",""['disco'"",""'funk'"",""'jazz funk'"",""'soul']"",""disco""]","[""und""]",,,,,,,spotify_streams,906583949.0,streams,906583949,Spotify,,134.4415365187663,5XVA46Iox7msFKmZe63C9Y,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""soul"",""funk"",""['disco'"",""'funk'"",""'jazz funk'"",""'soul']"",""disco""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
3,(Sittin' On) the Dock of the Bay,Otis Redding,[],,,1968,"[""['classic soul'"",""'memphis soul'"",""'soul'"",""'soul blues'"",""'southern soul'"",""'vocal jazz']"",""blues"",""soul""]","[""und""]",,,,,,,spotify_streams,1114329390.0,streams,1114329390,Spotify,,133.99734836372997,50uGbeaQIxKiSc7jvRTjWx,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""['classic soul'"",""'memphis soul'"",""'soul'"",""'soul blues'"",""'southern soul'"",""'vocal jazz']"",""blues"",""soul""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
4,Boogie Wonderland,"Earth, Wind & Fire",[],I Am,,1979,"[""jazz"",""disco""]","[""und""]",,,,,,,spotify_streams,805898038.0,streams,805898038,Spotify,,132.77656763437676,6ztstiyZL6FXzh4aG46ZPD,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""jazz"",""disco""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
5,Just the Two of Us,"Grover Washington, Jr.",[],,,1980,"[""jazz""]","[""und""]",,,,,,,spotify_streams,916873539.0,streams,916873539,Spotify,,132.71224016548854,5fdNHVZHbWB1AaXk4RBGVD,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
6,I Say a Little Prayer,Aretha Franklin,[],,,1968,"[""['classic soul'"",""'jazz blues'"",""'memphis soul'"",""'soul'"",""'southern soul'"",""'vocal jazz']"",""blues"",""jazz""]","[""und""]",,,,,,,spotify_streams,823241942.0,streams,823241942,Spotify,,132.56470234645573,7haFcQaoTBr2qY6G0r4JSH,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""['classic soul'"",""'jazz blues'"",""'memphis soul'"",""'soul'"",""'southern soul'"",""'vocal jazz']"",""blues"",""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
7,Don't Know Why,Norah Jones,[],Come Away With Me (Super Deluxe Edition),,2002,"[""j-pop"",""jazz""]","[""und""]",,,,,,,spotify_streams,728613021.0,streams,728613021,Spotify,,131.42512154955514,7uki3SHvd09GpX4Fbq95Ui,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""j-pop"",""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
8,Feeling Good,Michael Bublé,[],,2005-02-08,2005,"[""j-pop"",""jazz""]","[""und""]",,,,,,,spotify_streams,730932932.0,streams,730932932,Spotify,,131.3767937100726,57rnZ6f2YgQW0iw2kT12Kt,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""j-pop"",""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
9,At Last,Etta James,[],At Last!,1960,1960,"[""['jazz blues'"",""'soul'"",""'soul blues'"",""'torch song'"",""'vocal jazz']"",""jazz"",""blues"",""soul""]","[""und""]",,,,,,,spotify_streams,700226869.0,streams,700226869,Spotify,,131.36654290717516,7mULdwxJbL0Pl7yvrACd2X,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""['jazz blues'"",""'soul'"",""'soul blues'"",""'torch song'"",""'vocal jazz']"",""jazz"",""blues"",""soul""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
10,What A Wonderful World,Louis Armstrong,[],,,1968,"[""['adult standards'"",""'dixieland'"",""'harlem renaissance'"",""'jazz trumpet'"",""'new orleans jazz'"",""'soul'"",""'swing'"",""'vocal jazz']"",""jazz""]","[""und""]",,,,,,,spotify_streams,815472452.0,streams,815472452,Spotify,,131.09370180279873,7FIDlngkZYOlguv8fKGZBd,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""['adult standards'"",""'dixieland'"",""'harlem renaissance'"",""'jazz trumpet'"",""'new orleans jazz'"",""'soul'"",""'swing'"",""'vocal jazz']"",""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
11,Son of a Preacher Man,Dusty Springfield,[],Hit Soul,2017-09-18,1969,"[""british"",""['adult standards'"",""'british invasion'"",""'soul'"",""'vocal jazz']""]","[""und""]",,,,,,,spotify_streams,767573729.0,streams,767573729,Spotify,,130.59479217558976,7odHgoLFi3GQ90E9PeraI3,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""british"",""['adult standards'"",""'british invasion'"",""'soul'"",""'vocal jazz']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
12,It's Beginning to Look a Lot Like Christmas,Michael Bublé,[],,,2011,"[""j-pop"",""['adult standards'"",""'canadian pop'"",""'jazz pop'"",""'lounge']"",""jazz""]","[""und""]",,,,,,,spotify_streams,1354787664.0,streams,1354787664,Spotify,,128.1394948970266,6Zr8jqdDNrwhZ3knkDLYfA,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""j-pop"",""['adult standards'"",""'canadian pop'"",""'jazz pop'"",""'lounge']"",""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
13,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,[],,,1959,"[""jazz"",""['adult standards'"",""'easy listening'"",""'lounge'"",""'vocal jazz']""]","[""und""]",,,,,,,spotify_streams,1009965230.0,streams,1009965230,Spotify,,127.1925172696135,6RDMoC2vd1dlVvTzYbCOUU,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""jazz"",""['adult standards'"",""'easy listening'"",""'lounge'"",""'vocal jazz']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
14,The Christmas Song (Merry Christmas To You),Nat King Cole,[],,,1962,"[""jazz""]","[""und""]",,,,,,,spotify_streams,750360426.0,streams,750360426,Spotify,,121.68753215190853,70rtpDRKKrpw7sx5U8OQAc,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
15,Holly Jolly Christmas,Michael Bublé,[],,,2011,"[""['adult standards'"",""'canadian pop'"",""'jazz pop'"",""'lounge']"",""j-pop"",""jazz""]","[""und""]",,,,,,,spotify_streams,901841331.0,streams,901841331,Spotify,,119.50598186736767,67mgz7S5y7hnCE63YBjfO6,,,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""jazz_depth"",""matched_source_genres"":[""['adult standards'"",""'canadian pop'"",""'jazz pop'"",""'lounge']"",""j-pop"",""jazz""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
