rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,GANGNAM STYLE(강남스타일),PSY,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,6008693114.0,views,,,6008693114,97.78780023639547,,,,https://www.youtube.com/watch?v=9bZkp7q19f0,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""9bZkp7q19f0"",""youtube_channel_id"":""UCrDkAvwZum-UTjHmzDI2iIw"",""youtube_channel_title"":""officialpsy"",""youtube_original_title"":""PSY - GANGNAM STYLE(강남스타일) M/V"",""youtube_discovery_query"":""Korean pop official music video"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""PSY"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
2,DDU-DU DDU-DU,BLACKPINK,[],SQUARE UP,6/15/2018,2018,"[""['k-pop'"",""'k-pop girl group'"",""'pop']"",""k-pop""]","[""und""]",,,,,,,youtube_views,3435321800.0,views,,,3435321800,200.29212339053493,69BIczdH6QMnFx7dsSssN8,,KRA401800096,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop"",""k-pop girl group"",""pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BLACKPINK"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
3,Kill This Love,BLACKPINK,[],Kill This Love,4/4/2019,2019,"[""k-pop""]","[""und""]",,,,,,,youtube_views,2920436498.0,views,,,2920436498,201.52262726240488,6hvczQ05jc1yGlp9zhb95V,,KRA401900005,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BLACKPINK"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
4,Dynamite,BTS,[],Dynamite,8/21/2020,2020,"[""pop"",""k-pop""]","[""und""]",,,,,,,youtube_views,2638957320.0,views,,,2638957320,212.09399706161102,72wqLtMtkrB0qUw6jSqM0Z,,QM7282022872,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""pop"",""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BTS"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
5,Boy With Luv (feat. Halsey),BTS,[],MAP OF THE SOUL : PERSONA,4/12/2019,2019,"[""pop"",""k-pop""]","[""und""]",,,,,,,youtube_views,2104797932.0,views,,,2104797932,186.62887317080032,7lrqvdivAYRGEiO8JFP31G,,QM6MZ1917908,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""pop"",""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BTS"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
6,BOOMBAYAH,BLACKPINK,[],SQUARE ONE,8/8/2016,2016,"[""k-pop"",""['k-pop'"",""'k-pop girl group'"",""'pop']""]","[""und""]",,,,,,,youtube_views,1785015062.0,views,,,1785015062,196.9496432019732,5nIjOnMbC0QDMrYFLGx0yV,,KRA401600169,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop"",""k-pop girl group"",""pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BLACKPINK"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
7,Gentleman,PSY,[],Clubland 23,1/1/2013,2013,"[""k-pop""]","[""und""]",,,,,,,youtube_views,1772780483.0,views,,,1772780483,164.82229933747823,5oGgavDARIAKitJAWh2Rdz,,USUM71304188,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""PSY"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
8,DNA,BTS,[],Love Yourself ���,9/18/2017,2017,"[""k-pop"",""['k-pop'"",""'k-pop boy group'"",""'pop']""]","[""und""]",,,,,,,youtube_views,1758381885.0,views,,,1758381885,196.77844221545115,6Z7m5DLNPOaPg9T6nXK0rQ,,KRA381702187,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop"",""k-pop boy group"",""pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BTS"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
9,As If It's Your Last,BLACKPINK,[],As If It's Your Last,6/22/2017,2017,"[""k-pop""]","[""und""]",,,,,,,youtube_views,1658892938.0,views,,,1658892938,197.33320468000127,5DVgfulxeJZJYc8FseyfUf,,KRA401700174,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BLACKPINK"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
10,How You Like That,BLACKPINK,[],How You Like That,6/25/2020,2020,"[""pop"",""k-pop""]","[""und""]",,,,,,,youtube_views,1584676582.0,views,,,1584676582,202.53434779009297,78VxuxuTcKnhxEDtncc1QS,,KRA402000111,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""pop"",""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BLACKPINK"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
