rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Sweater Weather,The Neighbourhood,[],I'm Sorry...,1/1/2012,2012,"[""'modern rock'"",""'pop']"",""['modern alternative rock'"",""alt-rock"",""alternative"",""modern alternative rock"",""modern rock"",""pop"",""rock""]","[""und""]",,,,,,,spotify_streams,4759814650.0,streams,4759814650,Spotify,,213.95676439552193,4pGqFOfzvfe6avb9kbZicC,,USSM11300080,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""alternative"",""pop"",""['modern alternative rock'"",""'modern rock'"",""'pop']"",""alt-rock"",""rock""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":4750834273.0,""metric_unit"":""streams"",""listen_count"":4750834273,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":2718094621.0,""metric_unit"":""streams"",""listen_count"":2718094621,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
2,Closer,The Chainsmokers,[],Closer,7/29/2016,2016,"[""dance"",""edm"",""electro"",""house"",""pop""]","[""und""]",,,,,,,spotify_streams,3808321323.0,streams,3808321323,Spotify,,213.7837882365751,7crMiinWx373rNBZBaVske,,USQX91601347,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""dance"",""electro"",""house"",""edm"",""pop""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":3803383845.0,""metric_unit"":""streams"",""listen_count"":3803383845,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":1476591922.0,""metric_unit"":""streams"",""listen_count"":1476591922,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
3,Something Just Like This,The Chainsmokers,[],Something Just Like This,2/22/2017,2017,"[""dance"",""edm"",""electro"",""house"",""pop""]","[""und""]",,,,,,,spotify_streams,3713218025.0,streams,3713218025,Spotify,,211.62280727075108,6RUKPb4LETWmmr3iAEQktW,,USQX91700278,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""dance"",""pop"",""electro"",""house"",""edm""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":3708574068.0,""metric_unit"":""streams"",""listen_count"":3708574068,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":1062803466.0,""metric_unit"":""streams"",""listen_count"":1062803466,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
4,Baby Shark,Pinkfong,[],��������� ������ ������������,12/1/2015,2015,"[""children""]","[""und""]",,,,,,,spotify_streams,1023307570.0,streams,1023307570,Spotify,,210.5296485279397,5ygDXis42ncn6kYG14lEVG,,KRE671700001,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":1021882308.0,""metric_unit"":""streams"",""listen_count"":1021882308,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html""]}"
5,Let Me Love You,DJ Snake,[],Encore,8/5/2016,2016,"[""dance"",""edm"",""electro"",""electronic"",""pop""]","[""und""]",,,,,,,spotify_streams,3150871157.0,streams,3150871157,Spotify,,210.18759364418295,5Qjv35Ja2TDt9CXRRo51hh,,QMZSY1600015,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""pop"",""edm"",""electronic"",""dance"",""electro""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":3144868019.0,""metric_unit"":""streams"",""listen_count"":3144868019,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":975353862.0,""metric_unit"":""streams"",""listen_count"":975353862,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
6,bad guy,Billie Eilish,[],"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3/29/2019,2019,"[""electro"",""pop""]","[""und""]",,,,,,,spotify_streams,2953259901.0,streams,2953259901,Spotify,,209.69386921877546,6DBdYfd4EkR6cUPSqtEwhQ,,USUM71900764,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""pop"",""electro""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":2951340906.0,""metric_unit"":""streams"",""listen_count"":2951340906,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":1590390701.0,""metric_unit"":""streams"",""listen_count"":1590390701,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
7,This Is What You Came For,Calvin Harris,"[""Rihanna""]",This Is What You Came For,4/29/2016,2016,"[""dance"",""electro"",""house"",""progressive-house""]","[""und""]",,,,,,,spotify_streams,2339226455.0,streams,2339226455,Spotify,,208.18664763172694,2ON6Pa8VnQGzsm4qVcr66u,,GBARL1600460,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""house"",""dance"",""electro"",""progressive-house""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":2335004587.0,""metric_unit"":""streams"",""listen_count"":2335004587,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_popularity"",""metric_value"":80.0,""metric_unit"":""score_0_100"",""listen_count"":null,""view_count"":null,""source_url"":""https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":538246087.0,""metric_unit"":""streams"",""listen_count"":538246087,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks"",""https://kworb.net/spotify/""]}"
8,SAD!,XXXTENTACION,[],SAD!,3/2/2018,2018,"[""emo"",""hip-hop""]","[""und""]",,,,,,,spotify_streams,2557678667.0,streams,2557678667,Spotify,,208.01946673950712,500rrRPwBWD2slEEljcha2,,USUG11800208,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""hip-hop"",""emo""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":2555996547.0,""metric_unit"":""streams"",""listen_count"":2555996547,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":1112420844.0,""metric_unit"":""streams"",""listen_count"":1112420844,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
9,Without Me,Halsey,[],Without Me,10/4/2018,2018,"[""dance"",""electro"",""indie"",""indie-pop"",""pop""]","[""und""]",,,,,,,spotify_streams,2561875594.0,streams,2561875594,Spotify,,207.98383979787997,7MhNCT34oaLIxwAsZlZd67,,USUM71813499,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""electronic_subcultures"",""matched_source_genres"":[""indie-pop"",""pop"",""indie"",""electro"",""dance""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":2559663306.0,""metric_unit"":""streams"",""listen_count"":2559663306,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":841642617.0,""metric_unit"":""streams"",""listen_count"":841642617,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
10,Moonlight,XXXTENTACION,[],?,3/16/2018,2018,"[""emo"",""hip-hop""]","[""und""]",,,,,,,spotify_streams,2458724596.0,streams,2458724596,Spotify,,207.5839941760089,48YQleBuyz5ZiMjgTCPqLU,,USUG11800209,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""hip-hop"",""emo""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking"",""alternate_metrics"":[{""metric_name"":""spotify_streams"",""metric_value"":2455039673.0,""metric_unit"":""streams"",""listen_count"":2455039673,""view_count"":null,""source_url"":""https://kworb.net/spotify/songs.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_regional_chart_streams_sum"",""metric_value"":695547529.0,""metric_unit"":""streams"",""listen_count"":695547529,""view_count"":null,""source_url"":""https://kworb.net/spotify/"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/songs.html"",""https://kworb.net/spotify/""]}"
