rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
70001,認真如初,Jason Chan,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1692311.0,streams,1692311,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,2rdcqS9cMomMCHqtX3v7hM,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":389,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":8587,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":684,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""HK"",""country_name"":""HK"",""country_rank"":684,""chart_streams"":1692311,""coverage_start"":""2014-08-10"",""coverage_end"":""2026-07-20""}]}"
70002,最後晚餐,Supper Moment,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1692091.0,streams,1692091,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,71b8CQvcm070jgEypaevrV,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":551,""top10_days"":null,""peak_rank"":26,""peak_occurrences"":null,""peak_daily_streams"":5592,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":685,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""HK"",""country_name"":""HK"",""country_rank"":685,""chart_streams"":1692091,""coverage_start"":""2014-08-10"",""coverage_end"":""2026-07-20""}]}"
70003,Soh-Soh,Odeal,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1691980.0,streams,1691980,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,1I08zQMc1sHy2xwd8itedV,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":81,""top10_days"":null,""peak_rank"":99,""peak_occurrences"":null,""peak_daily_streams"":28299,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":939,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""NG"",""country_name"":""NG"",""country_rank"":939,""chart_streams"":1691980,""coverage_start"":""2022-02-20"",""coverage_end"":""2026-07-20""}]}"
70004,la radio,Alleh,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1691809.0,streams,1691809,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,416m19AlSJrLPrK3Mor0UG,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""VE"",""country_name"":""VE"",""chart_coverage_start"":""2022-03-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":291,""top10_days"":null,""peak_rank"":46,""peak_occurrences"":null,""peak_daily_streams"":10897,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":396,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""VE"",""country_name"":""VE"",""country_rank"":396,""chart_streams"":1691809,""coverage_start"":""2022-03-28"",""coverage_end"":""2026-07-20""}]}"
70005,Питаш ли ме,Tsvetelina Yaneva,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1691055.0,streams,1691055,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,4np8dpfv5qahhkOSzgsMFL,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":364,""top10_days"":81,""peak_rank"":2,""peak_occurrences"":3,""peak_daily_streams"":14454,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":137,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""BG"",""country_name"":""BG"",""country_rank"":137,""chart_streams"":1691055,""coverage_start"":""2014-09-08"",""coverage_end"":""2026-07-20""}]}"
70006,Ještě jednu noc,Jelen,[],,2021-03-19,2021,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1690481.0,streams,1690481,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,2jPnCJF0IvX7x9utW1MOfQ,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":283,""top10_days"":null,""peak_rank"":70,""peak_occurrences"":null,""peak_daily_streams"":10839,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":870,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""CZ"",""country_name"":""CZ"",""country_rank"":870,""chart_streams"":1690481,""coverage_start"":""2014-08-10"",""coverage_end"":""2026-07-20""}],""alternate_metrics"":[{""metric_name"":""spotify_popularity"",""metric_value"":43.0,""metric_unit"":""score_0_100"",""listen_count"":null,""view_count"":null,""source_url"":""https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/"",""https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks""]}"
70007,חייזרית,Peer Tasi,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1690122.0,streams,1690122,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,6gDb8gPgdv49sJJ0VpqEMp,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":163,""top10_days"":null,""peak_rank"":48,""peak_occurrences"":null,""peak_daily_streams"":16747,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":728,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""IL"",""country_name"":""IL"",""country_rank"":728,""chart_streams"":1690122,""coverage_start"":""2018-03-14"",""coverage_end"":""2026-07-20""}]}"
70008,Dẫu Có Lỗi Lầm,Bằng Kiều,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1689539.0,streams,1689539,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,5JTZCDMaElB4ZBJc41YhMB,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""VN"",""country_name"":""VN"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":57,""top10_days"":null,""peak_rank"":31,""peak_occurrences"":null,""peak_daily_streams"":50804,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":941,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""VN"",""country_name"":""VN"",""country_rank"":941,""chart_streams"":1689539,""coverage_start"":""2018-03-14"",""coverage_end"":""2026-07-20""}]}"
70009,Be My First One,TalkinToys,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1689204.0,streams,1689204,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,4jQj2GzSDoaibN5qTrQh0c,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":341,""top10_days"":null,""peak_rank"":30,""peak_occurrences"":null,""peak_daily_streams"":8602,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":339,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""SA"",""country_name"":""SA"",""country_rank"":339,""chart_streams"":1689204,""coverage_start"":""2019-06-28"",""coverage_end"":""2026-07-20""}]}"
70010,7.7 Magnitude,Karan Aujla,[],,,,[],"[""und""]",,,,,,,spotify_regional_chart_streams_sum,1687999.0,streams,1687999,Spotify regional daily charts (Kworb aggregate; summed distinct country markets),,,1xofPJhZcfJCc66P1UAh28,,,https://kworb.net/spotify/,2026-07-22,"Sum of one deduplicated country-chart stream total per Spotify regional market in which the song appears. Markets are disjoint, but each market count only includes streams while the song was inside that market's daily Top 200; this is not a lifetime Spotify stream total.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":159,""top10_days"":null,""peak_rank"":67,""peak_occurrences"":null,""peak_daily_streams"":14630,""metric_scope"":""sum of distinct country-specific Spotify daily Top 200 chart-attributed stream totals"",""country_rank"":432,""country_chart_market_count"":1,""country_chart_appearances"":[{""country_code"":""PK"",""country_name"":""PK"",""country_rank"":432,""chart_streams"":1687999,""coverage_start"":""2022-05-15"",""coverage_end"":""2026-07-20""}]}"
