rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
170001,E l'uccellino,Giacomo Puccini,[],TINE,2013-03-04,2013,"[""classical"",""italian opera"",""italian romanticism"",""post-romantic era""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,475Ro9rPC9cHLsKDX5jtaC,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_2025_0_9m_features""}"
170002,"12 Etudes, Op.25: No.1 In A Flat ""Harp Study""",Frédéric Chopin,"[""Maurizio Pollini""]",,1984-01-01,1984,[],"[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,3ZD5nqsJPq4jBKeg4Hikog,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_600k_historical""}"
170003,"Cello Concerto in E Minor, Op. 85: 3. Adagio",Edward Elgar,"[""Julian Lloyd Webber"",""Royal Philharmonic Orchestra"",""Yehudi Menuhin""]",,1986-05-30,1986,[],"[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,0KhZrkANfedv450pKFehxk,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_600k_historical""}"
170004,Trombone Concerto in B-Flat Major: I. Allegro vivace,Nikolai Rimsky-Korsakov,"[""Christian Lindberg"",""Tokyo Kosei Wind Orchestra"",""Chikara Imamura""]",,1997-09-30,1997,[],"[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,3B9X77e14lkbXHeMlEDjHI,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_600k_historical""}"
170005,So Close,Franco Robert,[],Recollections Vol. 9,2022-09-09,2022,"[""neo-classical""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,2camtbjE6PDHAhR5Hkftja,,,https://doi.org/10.5281/zenodo.11453410,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_2025_0_9m_features""}"
170006,The Phantom Agony - Live At Paradiso,Epica,[],Live At Paradiso,,,"[""goth"",""opera""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,6tUzFC7gqFurOE3DY3vaO6,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_114k""}"
170007,Mai,Josh Groban,[],Awake,2006-10-31,2006,"[""operatic pop""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,5jmncv6nBzB4uDy1vCpMsb,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_2025_0_9m_features""}"
170008,"Send in the Clowns (From ""A Little Night Music"")",Collabro,[],Home (Deluxe),,,"[""opera""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,6mRLYqDgd8hReXCDOIZ8Ca,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_114k""}"
170009,Marco Rosano: Requiem,Andreas Scholl,[],Marco Rosano: Requiem - Single,,,"[""opera""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,0LdtlyhUJDcoZpYyRtUfbo,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_114k""}"
170010,"12 Variations on ‘Je suis Lindor’ from ‘Le Barbier de Séville’ by A.L. Baudron in E, K.354: 12. Variation XI",Wolfgang Amadeus Mozart,"[""Danielle Laval""]",Mozart: A Night of Classics,,,"[""classical""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,57C9lBNTJR7lv0Nrh8zv0V,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_114k""}"
170011,The Christmas Song (Merry Christmas to You) - Piano Version,Henry Smith,[],Piano Christmas,2020-10-30,2020,"[""neo-classical""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,6se5x3774TfQTC07852rGt,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_2025_0_9m_features""}"
170012,"12 Etudes, Op.25: No.5 In E Minor",Frédéric Chopin,"[""Maurizio Pollini""]",,1984-01-01,1984,[],"[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,5yk7Z3Hp0DHc9sPqJlNvny,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_600k_historical""}"
170013,Torna A Surriento,Beniamino Gigli,[],La Leggenda di Beniamino Gigli,,,"[""opera""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,20DAUWeuFdO4AWfUVgWpTO,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_114k""}"
170014,"Lieder ohne Worte, Op. 38: No. 6. Andante Con Moto in A Flat, MWV U 119 - ""Duetto""",Felix Mendelssohn,[],Mendelssohn: Songs without Words,1974-01-01,1974,"[""classical"",""early romantic era"",""german romanticism""]","[""und""]",,,,,,,spotify_popularity,25.0,score_0_100,,,,6.25,2sSGkbWNsiP70AS3SPpfkJ,,,https://doi.org/10.5281/zenodo.11453410,2026-07-22,,"{""classical_filter"":""genre_metadata"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_600k_historical|spotify_2025_0_9m_features""}"
