rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
310001,瞬間撃沈コレクション,pineApple.職人🍍,"[""初音ミク""]",,2025-02-28T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=V_nWgX3uiMA,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":768951,""vocadb_url"":""https://vocadb.net/S/768951"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""V_nWgX3uiMA"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""pineApple.職人🍍"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""V_nWgX3uiMA"",""views"":92,""author"":""pineApple.職人🍍"",""url"":""https://youtu.be/V_nWgX3uiMA""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""pineApple.職人🍍""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""pineApple.職人🍍"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":130697},{""name"":""みゐ輔丼"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null},{""name"":""靛雪律"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null}]}"
310002,オートセーブ・オートセーブ,うわ,"[""蒼音キノ""]",,2026-02-19T00:00:00Z,2026,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=weB8jBnjji4,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":933678,""vocadb_url"":""https://vocadb.net/S/933678"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""weB8jBnjji4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""うわ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""weB8jBnjji4"",""views"":92,""author"":""うわ"",""url"":""https://youtu.be/weB8jBnjji4""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""うわ""],""voice_synth_vocalists"":[""蒼音キノ""],""voice_synth_types"":{""蒼音キノ"":""utau""},""all_vocadb_artist_credits"":[{""name"":""蒼音キノ"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":182792},{""name"":""うわ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":182786}]}"
310003,白煙,Orat Jelly,"[""重音テトSV""]",,2025-12-14T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=RhMB2cNWZ-g,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":884186,""vocadb_url"":""https://vocadb.net/S/884186"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""RhMB2cNWZ-g"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Orat Jelly🪼"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""RhMB2cNWZ-g"",""views"":92,""author"":""Orat Jelly🪼"",""url"":""https://youtu.be/RhMB2cNWZ-g""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Orat Jelly""],""voice_synth_vocalists"":[""重音テトSV""],""voice_synth_types"":{""重音テトSV"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""重音テトSV"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":118397},{""name"":""Orat Jelly"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":174613}]}"
310004,スプーンいっぱいの猛毒,あいた,"[""GUMI""]",,2024-01-22T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=NL4mhIJP0bk,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":578396,""vocadb_url"":""https://vocadb.net/S/578396"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""NL4mhIJP0bk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""疑似インフル更生学校 *あいた"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""NL4mhIJP0bk"",""views"":92,""author"":""疑似インフル更生学校 *あいた"",""url"":""https://youtu.be/NL4mhIJP0bk""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""あいた""],""voice_synth_vocalists"":[""GUMI""],""voice_synth_types"":{""GUMI"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""GUMI"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3},{""name"":""あいた"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":80137}]}"
310005,EL TIGRE,iju,"[""鏡音リン"",""鏡音レン""]",,2024-10-09T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=cCMDMhWB-zY,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":728393,""vocadb_url"":""https://vocadb.net/S/728393"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""cCMDMhWB-zY"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""iju"",""official_youtube_pv_count"":2,""official_youtube_resolved_pv_count"":2,""official_youtube_total_views"":116,""official_youtube_pvs"":[{""video_id"":""cCMDMhWB-zY"",""views"":92,""author"":""iju"",""url"":""https://youtu.be/cCMDMhWB-zY""},{""video_id"":""yTQRGTq037g"",""views"":24,""author"":""iju - Topic"",""url"":""https://youtu.be/yTQRGTq037g""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""iju""],""voice_synth_vocalists"":[""鏡音リン"",""鏡音レン""],""voice_synth_types"":{""鏡音リン"":""vocaloid"",""鏡音レン"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""iju"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":68690},{""name"":""鏡音リン"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":14},{""name"":""鏡音レン"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":15}]}"
310006,水彩記憶,梨緒,"[""蒼姫ラピス""]",,2023-04-06T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=xSzEIWe9zOw,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":490851,""vocadb_url"":""https://vocadb.net/S/490851"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""xSzEIWe9zOw"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""梨緒"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""xSzEIWe9zOw"",""views"":92,""author"":""梨緒"",""url"":""https://youtu.be/xSzEIWe9zOw""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""梨緒""],""voice_synth_vocalists"":[""蒼姫ラピス""],""voice_synth_types"":{""蒼姫ラピス"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""梨緒"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":77653},{""name"":""蒼姫ラピス"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156}]}"
310007,生きろとは言わないが,overea,"[""知声""]",,2024-08-06T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=pqUPjde58Z0,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":721356,""vocadb_url"":""https://vocadb.net/S/721356"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""pqUPjde58Z0"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""overea"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""pqUPjde58Z0"",""views"":92,""author"":""overea"",""url"":""https://youtu.be/pqUPjde58Z0""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""overea""],""voice_synth_vocalists"":[""知声""],""voice_synth_types"":{""知声"":""voisona""},""all_vocadb_artist_credits"":[{""name"":""overea"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":151704},{""name"":""知声"",""artist_type"":""VoiSona"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":99757}]}"
310008,ハートガーディアン,Nemas,"[""鏡音リン""]",,2022-01-30T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=9761c4FdfAo,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":399792,""vocadb_url"":""https://vocadb.net/S/399792"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""9761c4FdfAo"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Nemas"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""9761c4FdfAo"",""views"":92,""author"":""Nemas"",""url"":""https://youtu.be/9761c4FdfAo""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Nemas""],""voice_synth_vocalists"":[""鏡音リン""],""voice_synth_types"":{""鏡音リン"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""Nemas"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":102041},{""name"":""鏡音リン"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":14},{""name"":""一般通過ネトフレcano"",""artist_type"":null,""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":null},{""name"":""夏庭"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null}]}"
310009,黑洞人类,闪光舞姬神猫,"[""初音ミク V4 (中文版)"",""学霸_张play"",""結月林""]",,2024-12-16T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=VR8YDPs1DBY,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":816027,""vocadb_url"":""https://vocadb.net/S/816027"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""VR8YDPs1DBY"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""闪光舞姬神猫"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""VR8YDPs1DBY"",""views"":92,""author"":""闪光舞姬神猫"",""url"":""https://youtu.be/VR8YDPs1DBY""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""闪光舞姬神猫"",""学霸_张play"",""結月林""],""voice_synth_vocalists"":[""初音ミク V4 (中文版)""],""voice_synth_types"":{""初音ミク V4 (中文版)"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""闪光舞姬神猫"",""artist_type"":""Producer"",""roles"":[""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":103442},{""name"":""初音ミク V4 (中文版)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":60540},{""name"":""学霸_张play"",""artist_type"":""Producer"",""roles"":[""voicemanipulator""],""is_support"":false,""vocadb_artist_id"":135342},{""name"":""結月林"",""artist_type"":""Producer"",""roles"":[""voicemanipulator""],""is_support"":false,""vocadb_artist_id"":98274},{""name"":""瓜瓜洲渡口"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null},{""name"":""Saionji_栖"",""artist_type"":null,""roles"":[""instrumentalist""],""is_support"":false,""vocadb_artist_id"":null}]}"
310010,下手くそなラブソング,ki-ya.pの日記,"[""初音ミク""]",,2025-03-17T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=yZOaUaPBrfE,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":858750,""vocadb_url"":""https://vocadb.net/S/858750"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""yZOaUaPBrfE"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ki-ya.pの日記"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""yZOaUaPBrfE"",""views"":92,""author"":""ki-ya.pの日記"",""url"":""https://youtu.be/yZOaUaPBrfE""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ki-ya.pの日記""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""ki-ya.pの日記"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":171218},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
310011,アポローンへの讃歌,すみと,"[""さとうささら""]",,2024-08-06T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,92.0,views,,,92,,,,,https://www.youtube.com/watch?v=wyNRYgGP7yw,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":658134,""vocadb_url"":""https://vocadb.net/S/658134"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""wyNRYgGP7yw"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ミシナハすみと VOCALOID Ch."",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":92,""official_youtube_pvs"":[{""video_id"":""wyNRYgGP7yw"",""views"":92,""author"":""ミシナハすみと VOCALOID Ch."",""url"":""https://youtu.be/wyNRYgGP7yw""}],""highest_individual_official_pv_views"":92,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[],""voice_synth_vocalists"":[""さとうささら""],""voice_synth_types"":{""さとうささら"":""voisona""},""all_vocadb_artist_credits"":[{""name"":""すみと"",""artist_type"":""CoverArtist"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":115343},{""name"":""さとうささら"",""artist_type"":""VoiSona"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":108201}]}"
