rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
330001,Lyric,偽薬効果1978,"[""初音ミク""]",,2024-01-31T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=DrWXusDKnHE,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":845126,""vocadb_url"":""https://vocadb.net/S/845126"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""DrWXusDKnHE"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""giyakukouka 1978"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""DrWXusDKnHE"",""views"":44,""author"":""giyakukouka 1978"",""url"":""https://youtu.be/DrWXusDKnHE""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""偽薬効果1978""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""偽薬効果1978"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":81971},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
330002,モヤモヤエブリデイ！,ヒューズ,"[""IA""]",,2017-10-27T00:00:00Z,2017,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=s9Cn_rMOg_k,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":226470,""vocadb_url"":""https://vocadb.net/S/226470"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""s9Cn_rMOg_k"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ヒューズgt"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""s9Cn_rMOg_k"",""views"":44,""author"":""ヒューズgt"",""url"":""https://youtu.be/s9Cn_rMOg_k""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ヒューズ""],""voice_synth_vocalists"":[""IA""],""voice_synth_types"":{""IA"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""ヒューズ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":46983},{""name"":""IA"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":504}]}"
330003,午前２時、人のいない大通りから。,黄銅,"[""巡音ルカ""]",,2019-02-16T00:00:00Z,2019,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=W7epcsaeKa4,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":730634,""vocadb_url"":""https://vocadb.net/S/730634"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""W7epcsaeKa4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Secondary仮想バンド（仮想バンドSecondary）"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""W7epcsaeKa4"",""views"":44,""author"":""Secondary仮想バンド（仮想バンドSecondary）"",""url"":""https://youtu.be/W7epcsaeKa4""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""黄銅""],""voice_synth_vocalists"":[""巡音ルカ""],""voice_synth_types"":{""巡音ルカ"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""巡音ルカ"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":2},{""name"":""黄銅"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":36073}]}"
330004,月の夢に溺れたい,春野サメ,"[""初音ミク""]",,2023-08-04T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=uPyHsFDY3N4,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":582622,""vocadb_url"":""https://vocadb.net/S/582622"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""uPyHsFDY3N4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""春野さめ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""uPyHsFDY3N4"",""views"":44,""author"":""春野さめ"",""url"":""https://youtu.be/uPyHsFDY3N4""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""春野サメ""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""春野サメ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":127291},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
330005,Ulterior Motives,GR-M3,"[""初音ミク V4 (English)"",""AI 紲星あかり"",""AI 結月ゆかり""]",,2025-08-25T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=IZmSZw3NuQg,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":831365,""vocadb_url"":""https://vocadb.net/S/831365"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""IZmSZw3NuQg"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""GR-M3 - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""IZmSZw3NuQg"",""views"":44,""author"":""GR-M3 - Topic"",""url"":""https://youtu.be/IZmSZw3NuQg""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""GR-M3""],""voice_synth_vocalists"":[""初音ミク V4 (English)"",""AI 紲星あかり"",""AI 結月ゆかり""],""voice_synth_types"":{""初音ミク V4 (English)"":""vocaloid"",""AI 紲星あかり"":""vocaloid"",""AI 結月ゆかり"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""GR-M3"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":60123},{""name"":""初音ミク V4 (English)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":49724},{""name"":""AI 紲星あかり"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":162381},{""name"":""AI 結月ゆかり"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156400}]}"
330006,水色AFTER SCHOOL,YOTY,"[""初音ミク V4X (Unknown)"",""V4 GUMI (Unknown)""]",,2024-05-31T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=d66ajT0048c,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":635426,""vocadb_url"":""https://vocadb.net/S/635426"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""d66ajT0048c"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""YOTYヨーティー"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""d66ajT0048c"",""views"":44,""author"":""YOTYヨーティー"",""url"":""https://youtu.be/d66ajT0048c""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""YOTY""],""voice_synth_vocalists"":[""初音ミク V4X (Unknown)"",""V4 GUMI (Unknown)""],""voice_synth_types"":{""初音ミク V4X (Unknown)"":""vocaloid"",""V4 GUMI (Unknown)"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""YOTY"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":82083},{""name"":""初音ミク V4X (Unknown)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":41322},{""name"":""V4 GUMI (Unknown)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":true,""vocadb_artist_id"":41882}]}"
330007,アジサイワールド,CLP,"[""重音テトSV""]",,2024-03-16T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=R4sPldN_xD8,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":601102,""vocadb_url"":""https://vocadb.net/S/601102"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""R4sPldN_xD8"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""集団生活"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""R4sPldN_xD8"",""views"":44,""author"":""集団生活"",""url"":""https://youtu.be/R4sPldN_xD8""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""CLP""],""voice_synth_vocalists"":[""重音テトSV""],""voice_synth_types"":{""重音テトSV"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""重音テトSV"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":118397},{""name"":""CLP"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":130263}]}"
330008,届け僕の片思い,Kobayashi Paseri,"[""Mai""]",,2023-03-19T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=om_gVUKcYyk,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":501578,""vocadb_url"":""https://vocadb.net/S/501578"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""om_gVUKcYyk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ぱせりソングブック"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""om_gVUKcYyk"",""views"":44,""author"":""ぱせりソングブック"",""url"":""https://youtu.be/om_gVUKcYyk""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Kobayashi Paseri""],""voice_synth_vocalists"":[""Mai""],""voice_synth_types"":{""Mai"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""Kobayashi Paseri"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":44467},{""name"":""Mai"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":110703}]}"
330009,ビールと唐揚げ,八神P,"[""MEIKO""]",,2025-04-16T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=kJzdkjKiAEM,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":899496,""vocadb_url"":""https://vocadb.net/S/899496"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""kJzdkjKiAEM"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""八神 Music Production Records"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""kJzdkjKiAEM"",""views"":44,""author"":""八神 Music Production Records"",""url"":""https://youtu.be/kJzdkjKiAEM""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""八神P""],""voice_synth_vocalists"":[""MEIKO""],""voice_synth_types"":{""MEIKO"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""八神P"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":64898},{""name"":""MEIKO"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":176}]}"
330010,トイボックス,与里-yori,"[""カゼヒキV""]",,2025-09-19T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=sd4sjwlejL4,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":906396,""vocadb_url"":""https://vocadb.net/S/906396"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""sd4sjwlejL4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""与里"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""sd4sjwlejL4"",""views"":44,""author"":""与里"",""url"":""https://youtu.be/sd4sjwlejL4""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""与里-yori""],""voice_synth_vocalists"":[""カゼヒキV""],""voice_synth_types"":{""カゼヒキV"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""カゼヒキV"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":141871},{""name"":""与里-yori"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":168037}]}"
330011,ある晴れた日に、憂鬱な。,黄銅,"[""巡音ルカ""]",,2017-05-01T00:00:00Z,2017,[],"[""und""]",,,,,,,youtube_views,44.0,views,,,44,,,,,https://www.youtube.com/watch?v=M_MqOk3Lrtk,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":383936,""vocadb_url"":""https://vocadb.net/S/383936"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""M_MqOk3Lrtk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Secondary仮想バンド（仮想バンドSecondary）"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":44,""official_youtube_pvs"":[{""video_id"":""M_MqOk3Lrtk"",""views"":44,""author"":""Secondary仮想バンド（仮想バンドSecondary）"",""url"":""https://youtu.be/M_MqOk3Lrtk""}],""highest_individual_official_pv_views"":44,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""黄銅""],""voice_synth_vocalists"":[""巡音ルカ""],""voice_synth_types"":{""巡音ルカ"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""巡音ルカ"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":2},{""name"":""黄銅"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":36073}]}"
