rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,In the End,Linkin Park,[],,,,[],,,,,,,listenbrainz_all_time_listens,223644.0,listens,223644,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
2,Mr. Brightside,The Killers,[],,,,[],,,,,,,listenbrainz_all_time_listens,222244.0,listens,222244,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
3,Smells Like Teen Spirit,Nirvana,[],,,,[],,,,,,,listenbrainz_all_time_listens,219306.0,listens,219306,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
4,Creep,Radiohead,[],,,,[],,,,,,,listenbrainz_all_time_listens,219075.0,listens,219075,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
5,Chop Suey!,System of a Down,[],,,,[],,,,,,,listenbrainz_all_time_listens,216918.0,listens,216918,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
6,Numb,Linkin Park,[],,,,[],,,,,,,listenbrainz_all_time_listens,203601.0,listens,203601,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
7,The Less I Know the Better,Tame Impala,[],,,,[],,,,,,,listenbrainz_all_time_listens,196836.0,listens,196836,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
8,Karma Police,Radiohead,[],,,,[],,,,,,,listenbrainz_all_time_listens,196385.0,listens,196385,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
9,Feel Good Inc.,Gorillaz,[],,,,[],,,,,,,listenbrainz_all_time_listens,194937.0,listens,194937,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
10,No Surprises,Radiohead,[],,,,[],,,,,,,listenbrainz_all_time_listens,189151.0,listens,189151,ListenBrainz,,,,,,https://listenbrainz.org/statistics/?range=all_time,2026-07-20,"ListenBrainz sitewide all-time Top Tracks snapshot; this is a ListenBrainz count, not universal worldwide streams",{}
