rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Treat You Better,Shawn Mendes,[],Treat You Better,6/3/2016,2016,"[""['canadian pop'"",""'pop'"",""'viral pop']"",""dance"",""pop""]","[""und""]",,,,,,,spotify_streams,2993302868.0,streams,2993302868,Spotify,,211.09943601606506,6XNVTUjEi4HnTvOG0fC74O,,USUM71604711,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['canadian pop'"",""'pop'"",""'viral pop']"",""dance"",""pop""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
2,There's Nothing Holdin' Me Back,Shawn Mendes,[],Illuminate,9/23/2016,2016,"[""dance"",""['canadian pop'"",""'pop'"",""'viral pop']"",""pop""]","[""und""]",,,,,,,spotify_streams,2907589826.0,streams,2907589826,Spotify,,209.14365495656656,7JJmb5XwzOO8jgpou264Ml,,USUM71702833,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""dance"",""['canadian pop'"",""'pop'"",""'viral pop']"",""pop""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
3,SLOW DANCING IN THE DARK,Joji,[],SLOW DANCING IN THE DARK,9/12/2018,2018,"[""['viral pop']""]","[""und""]",,,,,,,spotify_streams,1853158204.0,streams,1853158204,Spotify,,202.71864306967976,0rKtyWc8bvkriBthvHKY8d,,ZZOPM1800452,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['viral pop']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
4,Panda,Desiigner,[],Panda,2/26/2016,2016,"[""['pop rap'"",""'rap'"",""'southern hip hop'"",""'trap'"",""'viral trap']""]","[""und""]",,,,,,,spotify_streams,1298493341.0,streams,1298493341,Spotify,,200.84165953804887,6r2jK1A6oFRPREZfxjc5d1,,USUM71601094,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['pop rap'"",""'rap'"",""'southern hip hop'"",""'trap'"",""'viral trap']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
5,MAMIII,Becky G,[],MAMIII,2/10/2022,2022,"[""['latin pop'"",""'latin viral pop'"",""'rap latina'"",""'reggaeton'"",""'trap latino'"",""'urbano latino']"",""reggaeton"",""reggae""]","[""und""]",,,,,,,spotify_streams,1234002357.0,streams,1234002357,Spotify,,200.7412439307121,7FlQk2gJ6TBrHHiidvdR2O,,USRC12200425,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['latin pop'"",""'latin viral pop'"",""'rap latina'"",""'reggaeton'"",""'trap latino'"",""'urbano latino']"",""reggaeton"",""reggae""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
6,Mercy,Shawn Mendes,[],Mercy,8/18/2016,2016,"[""dance"",""['canadian pop'"",""'pop'"",""'viral pop']""]","[""und""]",,,,,,,spotify_streams,1725194641.0,streams,1725194641,Spotify,,200.31958233185003,3OalxlWH0v14kyBcNBMINt,,USUM71603531,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""dance"",""['canadian pop'"",""'pop'"",""'viral pop']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
7,Glimpse of Us,Joji,[],Glimpse of Us,6/10/2022,2022,"[""pop"",""['viral pop']""]","[""und""]",,,,,,,spotify_streams,1835641927.0,streams,1835641927,Spotify,,199.69708181491117,6xGruZOHLs39ZbVccQTuPZ,,USWB12201789,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""pop"",""['viral pop']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
8,Cuando Nadie Ve,Morat,[],Cuando Nadie Ve,6/8/2018,2018,"[""['colombian pop'"",""'latin viral pop']"",""latin""]","[""und""]",,,,,,,spotify_streams,887021172.0,streams,887021172,Spotify,,196.3177478769308,7ohck97HOoIQvt32YpmP3h,,ES5701800456,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['colombian pop'"",""'latin viral pop']"",""latin""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
9,Me And My Broken Heart,Rixton,[],Power Hits 2014,1/1/2014,2014,"[""['post-teen pop'"",""'talent show'"",""'teen pop'"",""'viral pop']"",""dance"",""rock""]","[""und""]",,,,,,,spotify_streams,916904731.0,streams,916904731,Spotify,,194.93179470332169,1oew3nFNY3vMacJAsvry0S,,USUM71401800,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['post-teen pop'"",""'talent show'"",""'teen pop'"",""'viral pop']"",""dance"",""rock""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
10,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,[],Left and Right (Feat. Jung Kook of BTS),6/24/2022,2022,"[""['pop'"",""'viral pop']"",""pop"",""dance""]","[""und""]",,,,,,,spotify_streams,1197127016.0,streams,1197127016,Spotify,,194.8393778244437,5Odq8ohlgIbQKMZivbWkEo,,USAT22205563,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['pop'"",""'viral pop']"",""pop"",""dance""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
11,Little Do You Know,Alex & Sierra,[],Little Do You Know,1/1/2014,2014,"[""['pop'"",""'post-teen pop'"",""'viral pop']"",""pop""]","[""und""]",,,,,,,spotify_streams,823584804.0,streams,823584804,Spotify,,193.1506513635364,6soW9pvcXoYrnyVmTC9ErH,,USSM11404193,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['pop'"",""'post-teen pop'"",""'viral pop']"",""pop""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
12,Cool Kids,Echosmith,[],Summer Sampler,6/11/2013,2013,"[""['electropop'"",""'indie poptimism'"",""'viral pop']"",""indie"",""indie-pop""]","[""und""]",,,,,,,spotify_streams,694360470.0,streams,694360470,Spotify,,190.90976118183406,1ij8tCo8arQGT2y0KS2A6f,,USWB11301764,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['electropop'"",""'indie poptimism'"",""'viral pop']"",""indie"",""indie-pop""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
13,Fight Song,Rachel Platten,[],Fight Song,12/2/2014,2014,"[""['post-teen pop'"",""'viral pop']"",""rock""]","[""und""]",,,,,,,spotify_streams,1069385281.0,streams,1069385281,Spotify,,190.65938084613842,37f4ITSlgPX81ad2EvmVQr,,USSM11500753,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""['post-teen pop'"",""'viral pop']"",""rock""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
14,Say Something,A Great Big World,[],Say Something,11/4/2013,2013,"[""piano"",""acoustic"",""['neo mellow'"",""'piano rock'"",""'pop rock'"",""'viral pop']""]","[""und""]",,,,,,,spotify_streams,1226157587.0,streams,1226157587,Spotify,,190.36310858868816,7xLhousIHDxoGgeJNhO4Ye,,USSM11306713,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""piano"",""acoustic"",""['neo mellow'"",""'piano rock'"",""'pop rock'"",""'viral pop']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
15,Freaky Friday (feat. Chris Brown),Lil Dicky,[],Freaky Friday (feat. Chris Brown),3/15/2018,2018,"[""comedy""]","[""und""]",,,,,,,spotify_streams_snapshot,670298052.0,streams,670298052,Spotify,,177.16148925954278,6dbSBQXCctYSVryynHXaZ4,,QMRSZ1800280,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""comedy""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
