rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Peaches,Jack Black,[],The Super Mario Bros. Movie (Original Motion Picture Soundtrack),4/7/2023,2023,"[""comedy rock"",""comic""]","[""und""]",,,,,,,spotify_streams_snapshot,144252786.0,streams,144252786,Spotify,,161.84902690613507,4w9soAM7IrmYDhSXLp14p6,,USQ4E2204040,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""comedy rock"",""comic""],""matched_unserious_title_phrase"":false,""selection"":""strict novelty/comedy tag or known absurd novelty-title pattern; source-backed popularity ranking""}"
2,Skibidi,Little Big,[],"Antipositive, Pt. 2",10/5/2018,2018,[],"[""und""]",,,,,,,spotify_streams_snapshot,46872738.0,streams,46872738,Spotify,,161.11115675896318,4F4TGsDYacEbw4PLAIyJ2e,,RUA591801291,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[],""matched_unserious_title_phrase"":true,""selection"":""strict novelty/comedy tag or known absurd novelty-title pattern; source-backed popularity ranking""}"
3,ALL MY FELLAS,Frizk,[],ALL MY FELLAS,9/19/2023,2023,"[""meme""]","[""und""]",,,,,,,spotify_streams_snapshot,56978899.0,streams,56978899,Spotify,,155.83061161416643,1ckhUtD8nBH2ShPlU8w2nU,,QZTAZ2359846,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""meme""],""matched_unserious_title_phrase"":false,""selection"":""strict novelty/comedy tag or known absurd novelty-title pattern; source-backed popularity ranking""}"
4,Monkeys Spinning Monkeys,Kevin MacLeod,[],SteamFun - Single,5/16/2011,2011,"[""meme"",""sillycore""]","[""und""]",,,,,,,spotify_streams_snapshot,11477477.0,streams,11477477,Spotify,,137.7640053938402,0OSrTTixauWJ0qYeREhOih,,USUAN1400011,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[""meme"",""sillycore""],""matched_unserious_title_phrase"":false,""selection"":""strict novelty/comedy tag or known absurd novelty-title pattern; source-backed popularity ranking""}"
5,Skibidi Toilet,Lil Big Stack,[],Skibidi Toilet,6/18/2023,2023,[],"[""und""]",,,,,,,spotify_streams_snapshot,8388731.0,streams,8388731,Spotify,,137.2343613639272,,,QZMEP2360644,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[],""matched_unserious_title_phrase"":true,""selection"":""strict novelty/comedy tag or known absurd novelty-title pattern; source-backed popularity ranking""}"
6,Peanut Butter Jelly,Galantis,[],,,2015,[],"[""und""]",,,,,,,spotify_chart_streams_snapshot,4992193.0,streams,4992193,Spotify,,90.08291453976531,6fmbKY1teQRfsIqVRlnTsM,,,data/raw/spotify_top10000_streamed_songs_2023.csv,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[],""matched_unserious_title_phrase"":true,""selection"":""strict novelty/comedy tag or known absurd novelty-title pattern; source-backed popularity ranking""}"
7,Peanut Butter Jelly,T.I.,[],,,,[],"[""und""]",,,,,,,spotify_chart_streams_snapshot,89515.0,streams,89515,Spotify,,49.51900667613907,,,,data/raw/spotify_top10000_streamed_songs_2023.csv,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""unserious"",""matched_source_genres"":[],""matched_unserious_title_phrase"":true,""selection"":""strict novelty/comedy tag or known absurd novelty-title pattern; source-backed popularity ranking""}"
8,"Oh, als de mensen eens wisten",Sjaan De Zangeres Zonder Baan,[],Een beetje geld voor een beetje liefde: Liedjes met een knipoog,,,"[""novelty""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,5b7d25d9-f8ed-459f-b21a-9b75a52730e1,,https://musicbrainz.org/recording/5b7d25d9-f8ed-459f-b21a-9b75a52730e1,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""unserious"",""source_tag"":""novelty"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
9,Wippen,Harry Touw,[],Een beetje geld voor een beetje liefde: Liedjes met een knipoog,,,"[""novelty""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,a26ad40f-88ac-4cca-9424-374fea192ada,,https://musicbrainz.org/recording/a26ad40f-88ac-4cca-9424-374fea192ada,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""unserious"",""source_tag"":""novelty"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
10,Rond van borst medley 1: Rond van borst / Twee sigaren / De sluizen van IJmuiden / Ik ben in Parijs geweest,Manke Nelis,[],Een beetje geld voor een beetje liefde: Liedjes met een knipoog,,,"[""novelty""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,7691a408-60c8-44dd-85cd-a89360b439aa,,https://musicbrainz.org/recording/7691a408-60c8-44dd-85cd-a89360b439aa,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""unserious"",""source_tag"":""novelty"",""listenbrainz_source_scope"":""release-group"",""source_popularity_band"":[95,100]}"
11,I Lost on Jeopardy,“Weird Al” Yankovic,[],In 3-D,,,"[""novelty""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,a670b397-88eb-42b7-b248-f244dd0abe96,,https://musicbrainz.org/recording/a670b397-88eb-42b7-b248-f244dd0abe96,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""unserious"",""source_tag"":""novelty"",""listenbrainz_source_scope"":""recording"",""source_popularity_band"":[95,100]}"
12,Canadian Idiot,“Weird Al” Yankovic,[],Straight Outta Lynwood,,,"[""novelty""]","[""und""]",,,,,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,35.0,,dc0f95e5-6b17-4a61-8479-27c5395eaaf1,,https://musicbrainz.org/recording/dc0f95e5-6b17-4a61-8479-27c5395eaaf1,2026-09-12,"MusicBrainz tag membership and hydrated recording metadata; ListenBrainz popularity score, not listens.","{""culture_category"":""unserious"",""source_tag"":""novelty"",""listenbrainz_source_scope"":""recording"",""source_popularity_band"":[95,100]}"
