rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,勝利のファンファーレ,植松伸夫,[],ファイナルファンタジー IV オリジナル・サウンド・ヴァージョン,2001-08-01,2001,"[""vgm""]","[""und""]",,,,ファイナルファンタジー IV,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,004c8dc9-4ef9-452e-896d-2d9205c80cea,JPA840500541,https://musicbrainz.org/recording/004c8dc9-4ef9-452e-896d-2d9205c80cea,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""ファイナルファンタジー IV"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""vgm""],""listenbrainz_tag_count"":42,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""39065394-8619-4480-8ed8-8d4b7e62d91f"",""musicbrainz_release_group_mbid"":""ddc91d7a-5201-3d83-abb6-b101c1a020c5"",""explicit_soundtrack_release"":""ファイナルファンタジー IV オリジナル・サウンド・ヴァージョン""}"
2,"Merry Falling, Everybody!",Jukio Kallio & Daniel Hagström,[],Fall Guys (Original Soundtrack),2020-12-15,2020,"[""video game music""]","[""und""]",,,,Fall Guys,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,6b3ad207-722a-4636-ab98-5269869b3004,QZNWX2086040,https://musicbrainz.org/recording/6b3ad207-722a-4636-ab98-5269869b3004,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Fall Guys"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""video game music""],""listenbrainz_tag_count"":30,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""0f82e50f-a46f-49be-a057-c4e1f6ead016"",""musicbrainz_release_group_mbid"":""8a49b4c1-1bd1-46ac-a4bf-a2ac4ee6714d"",""explicit_soundtrack_release"":""Fall Guys (Original Soundtrack)""}"
3,Wedding Celebration,ConcernedApe,[],Stardew Valley Soundtrack,2015-11-07,2015,"[""video game music""]","[""und""]",,,,Stardew Valley,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,9b5cdcc3-b9c9-48a9-b619-6c936ac9c5f7,TCACS1600125,https://musicbrainz.org/recording/9b5cdcc3-b9c9-48a9-b619-6c936ac9c5f7,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Stardew Valley"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""video game music""],""listenbrainz_tag_count"":18,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""f89eb3ad-1e49-4ca9-a531-6013b8046f60"",""musicbrainz_release_group_mbid"":""2acca63c-829e-4305-9e9a-875f210851ba"",""explicit_soundtrack_release"":""Stardew Valley Soundtrack""}"
4,A Hot Mess (3-3 Hot),Danny Baranowsky feat. FamilyJules7x,[],Crypt of the Necrodancer OST,2014-07-30,2014,"[""game music""]","[""und""]",,,,Crypt of the Necrodancer,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,aea004eb-6902-4faf-8973-d0b5fd1a9a20,USQY51560148,https://musicbrainz.org/recording/aea004eb-6902-4faf-8973-d0b5fd1a9a20,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Crypt of the Necrodancer"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""game music""],""listenbrainz_tag_count"":18,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""b7ceb248-b3ac-457a-aec2-5c59c96e4274"",""musicbrainz_release_group_mbid"":""b7f6bb96-f9d6-4191-a800-60e59536e5d2"",""explicit_soundtrack_release"":""Crypt of the Necrodancer OST""}"
5,Do the Bath Man,Chris Hülsbeck,[],Turrican Soundtrack Anthology,2013-11-26,2013,"[""video game music""]","[""und""]",,,,Turrican,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,3f9341a1-20ed-4d3c-860f-e104f7137540,,https://musicbrainz.org/recording/3f9341a1-20ed-4d3c-860f-e104f7137540,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Turrican"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""video game music""],""listenbrainz_tag_count"":16,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""9deceb4a-a23c-4ea8-8e8b-f63f1293f73d"",""musicbrainz_release_group_mbid"":""031a1df1-4bf1-4c1c-9ba7-fab06631c03e"",""explicit_soundtrack_release"":""Turrican Soundtrack Anthology""}"
6,Payment Day (Allister Brimble version),Allister Brimble,[],Turrican Soundtrack Anthology,2013-11-26,2013,"[""video game music""]","[""und""]",,,,Turrican,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,fb6ced85-a3d2-4fee-982d-47f6ee9e39b5,,https://musicbrainz.org/recording/fb6ced85-a3d2-4fee-982d-47f6ee9e39b5,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Turrican"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""video game music""],""listenbrainz_tag_count"":16,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""9deceb4a-a23c-4ea8-8e8b-f63f1293f73d"",""musicbrainz_release_group_mbid"":""031a1df1-4bf1-4c1c-9ba7-fab06631c03e"",""explicit_soundtrack_release"":""Turrican Soundtrack Anthology""}"
7,Freedom,Chris Hülsbeck,[],Turrican (Original Video Game Soundtrack),2013-11-26,2013,"[""video game music""]","[""und""]",,,,Turrican,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,872819cc-3c68-40e5-b31d-ffd85aa21fbd,,https://musicbrainz.org/recording/872819cc-3c68-40e5-b31d-ffd85aa21fbd,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Turrican"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""video game music""],""listenbrainz_tag_count"":16,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""8205e8c1-decc-40fc-905c-ab0e8169f5ff"",""musicbrainz_release_group_mbid"":""b76091af-201b-3da4-95f6-a700a075a519"",""explicit_soundtrack_release"":""Turrican (Original Video Game Soundtrack)""}"
8,Echoes (Sebastian’s Theme),ConcernedApe,[],Stardew Valley: Original Soundtrack,2015-11-07,2015,"[""video game music""]","[""und""]",,,,Stardew Valley,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,31341f48-b5d4-4ad4-9b10-80a5c7840b5c,TCACS1600113,https://musicbrainz.org/recording/31341f48-b5d4-4ad4-9b10-80a5c7840b5c,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Stardew Valley"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""video game music""],""listenbrainz_tag_count"":16,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""112df732-28e6-414a-92dc-6d1c7d287e6c"",""musicbrainz_release_group_mbid"":""2acca63c-829e-4305-9e9a-875f210851ba"",""explicit_soundtrack_release"":""Stardew Valley: Original Soundtrack""}"
9,Theme of Love,植松伸夫,[],Final Fantasy IV SNES OST [Complete & Restored],1991-10-28,1991,"[""vgm""]","[""und""]",,,,Final Fantasy IV SNES,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,ce88dcfa-2771-4c30-b521-2d5340dea8cc,,https://musicbrainz.org/recording/ce88dcfa-2771-4c30-b521-2d5340dea8cc,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Final Fantasy IV SNES"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""vgm""],""listenbrainz_tag_count"":16,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""a285ae38-65e6-471b-8525-774faddbe3c0"",""musicbrainz_release_group_mbid"":""96922b8c-1c56-4c53-bc08-96d00448206a"",""explicit_soundtrack_release"":""Final Fantasy IV SNES OST [Complete & Restored]""}"
10,Machine's Gallery,Chris Hülsbeck,[],Turrican Soundtrack Anthology,2013-11-26,2013,"[""game music""]","[""und""]",,,,Turrican,,,listenbrainz_tag_popularity_percent,100.0,score_0_100,,,,100.0,,b90e0639-ff81-40e1-b549-fe87c157be47,,https://musicbrainz.org/recording/b90e0639-ff81-40e1-b549-fe87c157be47,2026-09-11,"ListenBrainz release-group tag-radio popularity evidence plus MusicBrainz recording/release metadata. The score is a popularity percentage, not a stream or listen count.","{""culture_category"":""video_game_music"",""video_game"":""Turrican"",""selection"":""release-group game-music tag plus explicit soundtrack release marker"",""game_association_kind"":""listenbrainz_release_group_tag"",""listenbrainz_source_scope"":""release-group"",""listenbrainz_source_tags"":[""game music""],""listenbrainz_tag_count"":16,""listenbrainz_tag_popularity_percent"":100.0,""musicbrainz_release_mbid"":""9deceb4a-a23c-4ea8-8e8b-f63f1293f73d"",""musicbrainz_release_group_mbid"":""031a1df1-4bf1-4c1c-9ba7-fab06631c03e"",""explicit_soundtrack_release"":""Turrican Soundtrack Anthology""}"
