rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Blinding Lights,The Weeknd,[],Blinding Lights,11/29/2019,2019,"[""canadian contemporary r&b"",""canadian pop"",""pop""]",,,,,,,spotify_streams,5508193287.0,streams,5508193287,Spotify,,78.05946042021996,7LltNXuqCBGOAp1iwmAmB3,,USUG11904206,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":1425411,""catalog_sources"":""spotify_114k|spotify_zenodo_0_9m|spotify_top10000_2023|spotify_2025_0_9m_features|spotify_2024_crossplatform|spotify_600k_historical""}"
2,Starboy,The Weeknd,[],Starboy,9/22/2016,2016,"[""canadian contemporary r&b"",""canadian pop"",""pop""]",,,,,,,spotify_streams,4652777125.0,streams,4652777125,Spotify,,75.24621495208625,7zUEAYmAy98AZ1See3m8l8,,USUG11600976,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":1812158,""catalog_sources"":""spotify_2024_crossplatform|spotify_600k_historical|spotify_top10000_2023|spotify_114k|spotify_zenodo_0_9m|spotify_2025_0_9m_features""}"
3,Sunflower,Post Malone,[],,,,[],,,,,,,spotify_streams,4330136292.0,streams,4330136292,Spotify,,37.74346944781288,,,,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":1526775}"
4,Counting Stars,OneRepublic,[],Native (Standard),1/1/2013,2013,"[""piano"",""pop"",""rock""]",,,,,,,spotify_streams,3565228111.0,streams,3565228111,Spotify,,72.59360488095106,7oTth77HJhTFyHHI5jjrh9,,USUM71301306,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":1472402,""catalog_sources"":""spotify_top10000_2023|spotify_600k_historical|spotify_114k|spotify_2024_crossplatform""}"
5,Señorita,Shawn Mendes,[],,,2019,"[""canadian pop"",""dance"",""pop"",""viral pop""]",,,,,,,spotify_streams,3371810660.0,streams,3371810660,Spotify,,58.02389856213765,73gHGOTyJuwHExzHPh84GN,,,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":809498,""catalog_sources"":""spotify_2025_0_9m_features|spotify_zenodo_0_9m|spotify_top10000_2023|spotify_600k_historical|spotify_114k""}"
6,Love Yourself,Justin Bieber,[],Love Yourself,11/9/2015,2015,"[""canadian pop"",""pop""]",,,,,,,spotify_streams,3297361567.0,streams,3297361567,Spotify,,72.3604166825398,6ubQW4FBYNzHbrrAjp3mhL,,USUM71516761,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":1317867,""catalog_sources"":""spotify_2024_crossplatform|spotify_top10000_2023|spotify_zenodo_0_9m|spotify_2025_0_9m_features|spotify_114k|spotify_600k_historical""}"
7,In the End,Linkin Park,[],Hybrid Theory (Bonus Track Version),10/24/2000,2000,"[""alternative"",""alternative metal"",""grunge"",""metal"",""nu metal"",""post-grunge"",""rap metal"",""rock""]",,,,,,,spotify_streams,3272554185.0,streams,3272554185,Spotify,,74.96142833961018,7q115ia4fQn9zonjpexWsY,,USWB11201322,https://kworb.net/spotify/songs.html,2026-07-22,"Qualified only when stricter cumulative Spotify evidence reports >=10,000,000 streams and the title/artist resolves to a VocaDB voice-synth song entry. Metric snapshot/date label: 2026-07-22.","{""vocadb_id"":840510,""vocadb_url"":""https://vocadb.net/S/840510"",""vocadb_artists"":[""Linkin Park"",""Brad Delson"",""Chester Bennington"",""Joe Hahn"",""Mike Shinoda"",""Rob Bourdon"",""Don Gilmore"",""Dave Farrell"",""Mark Wakefield""],""match"":""exact_normalized_title"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":1659726,""catalog_sources"":""spotify_zenodo_0_9m|spotify_top10000_2023|spotify_114k|spotify_600k_historical|spotify_2025_0_9m_features|spotify_2024_crossplatform""}"
8,Bohemian Rhapsody,Queen,[],Absolute Greatest,11/16/2009,1992,"[""classic rock"",""glam rock"",""rock""]",,,,,,,spotify_streams,3221453337.0,streams,3221453337,Spotify,,68.86711993153472,6l8GvAyoUZwWDgF1e4822w,,GBCEE0900148,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":867298,""catalog_sources"":""spotify_114k|spotify_600k_historical|spotify_2024_crossplatform|spotify_2025_0_9m_features|spotify_zenodo_0_9m""}"
9,God's Plan,Drake,[],Diplomatic Immunity,1/20/2018,2018,"[""canadian hip hop"",""canadian pop"",""hip hop"",""hip-hop"",""pop rap"",""rap""]",,,,,,,spotify_streams,3125900080.0,streams,3125900080,Spotify,,72.46521699468956,6DCZcSspjsKoFjzjrWoCdn,,USCM51800004,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":792517,""catalog_sources"":""spotify_2024_crossplatform|spotify_top10000_2023|spotify_zenodo_0_9m|spotify_2025_0_9m_features|spotify_114k|spotify_600k_historical""}"
10,Creep,Radiohead,[],Creep,1992-09-21,1992,"[""alt-rock"",""alternative"",""alternative rock"",""art rock"",""indie"",""melancholia"",""oxford indie"",""permanent wave"",""rock""]",,,,,,,spotify_streams,3017978141.0,streams,3017978141,Spotify,,58.64946255266331,70LcF31zb1H0PyJoS1Sx1r,,,https://kworb.net/spotify/songs.html,2026-07-22,Voice-synth classification from explicit track credit/genre marker; >=10M qualification uses the stricter cumulative Spotify evidence channel (Zenodo Spotify-API snapshot or live Kworb overlay). Metric snapshot/date label: 2026-07-22.,"{""classification"":""explicit_voice_synth_credit_or_genre"",""trusted_stream_snapshot_date"":""2026-07-22"",""metric_snapshot_date"":""2026-07-22"",""streams_is_cumulative"":true,""daily_streams"":1871629,""catalog_sources"":""spotify_2025_0_9m_features|spotify_zenodo_0_9m|spotify_114k|spotify_600k_historical""}"
