rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,メズマライザー,サツキ,"[""初音ミク V4X (Original)"",""重音テトSV"",""ヒロモトヒライシン""]",,2024-04-27T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,211927447.0,views,,,211927447,,,,,https://www.youtube.com/watch?v=19y8YTbvri8,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":610187,""vocadb_url"":""https://vocadb.net/S/610187"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":1476,""youtube_video_id"":""19y8YTbvri8"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""サツキ"",""official_youtube_pv_count"":2,""official_youtube_resolved_pv_count"":2,""official_youtube_total_views"":246349321,""official_youtube_pvs"":[{""video_id"":""19y8YTbvri8"",""views"":211927447,""author"":""サツキ"",""url"":""https://youtu.be/19y8YTbvri8""},{""video_id"":""ibjWftkJrd4"",""views"":34421874,""author"":""Satsuki - Topic"",""url"":""https://youtu.be/ibjWftkJrd4""}],""highest_individual_official_pv_views"":211927447,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""サツキ"",""ヒロモトヒライシン""],""voice_synth_vocalists"":[""初音ミク V4X (Original)"",""重音テトSV""],""voice_synth_types"":{""初音ミク V4X (Original)"":""vocaloid"",""重音テトSV"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""サツキ"",""artist_type"":""Producer"",""roles"":[""arranger"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":75469},{""name"":""channel"",""artist_type"":""Animator"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":124916},{""name"":""ヒロモトヒライシン"",""artist_type"":""Producer"",""roles"":[""instrumentalist""],""is_support"":false,""vocadb_artist_id"":89842},{""name"":""初音ミク V4X (Original)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":50234},{""name"":""重音テトSV"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":118397}],""qualification_method"":""single_official_original_youtube_pv""}"
2,少女A,椎名もた,"[""鏡音リン Append (Power)""]",,2013-10-17T00:00:00Z,2013,[],"[""und""]",,,,,,,youtube_views,211003124.0,views,,,211003124,,,,,https://www.youtube.com/watch?v=AqI97zHMoQw,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":42111,""vocadb_url"":""https://vocadb.net/S/42111"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":1169,""youtube_video_id"":""AqI97zHMoQw"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""U/M/A/A Inc."",""official_youtube_pv_count"":2,""official_youtube_resolved_pv_count"":2,""official_youtube_total_views"":219320368,""official_youtube_pvs"":[{""video_id"":""AqI97zHMoQw"",""views"":211003124,""author"":""U/M/A/A Inc."",""url"":""https://youtu.be/AqI97zHMoQw""},{""video_id"":""VjsPYyUWUwY"",""views"":8317244,""author"":""siinamota - Topic"",""url"":""https://youtu.be/VjsPYyUWUwY""}],""highest_individual_official_pv_views"":211003124,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""椎名もた""],""voice_synth_vocalists"":[""鏡音リン Append (Power)""],""voice_synth_types"":{""鏡音リン Append (Power)"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""椎名もた"",""artist_type"":""Producer"",""roles"":[""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":292},{""name"":""鏡音リン Append (Power)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":347}],""qualification_method"":""single_official_original_youtube_pv""}"
3,グッバイ宣言,Chinozo,"[""v flower"",""KAKEYAN""]",,2020-04-13T00:00:00Z,2020,[],"[""und""]",,,,,,,youtube_views,157538446.0,views,,,157538446,,,,,https://www.youtube.com/watch?v=dHXC_ahjtEE,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":278267,""vocadb_url"":""https://vocadb.net/S/278267"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":502,""youtube_video_id"":""dHXC_ahjtEE"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Chinozo"",""official_youtube_pv_count"":3,""official_youtube_resolved_pv_count"":3,""official_youtube_total_views"":191163973,""official_youtube_pvs"":[{""video_id"":""dHXC_ahjtEE"",""views"":157538446,""author"":""Chinozo"",""url"":""https://youtu.be/dHXC_ahjtEE""},{""video_id"":""vfLfonEeoyM"",""views"":33443070,""author"":""Chinozo - Topic"",""url"":""https://youtu.be/vfLfonEeoyM""},{""video_id"":""4dRcU7ulFpI"",""views"":182457,""author"":""Chinozo - Topic"",""url"":""https://youtu.be/4dRcU7ulFpI""}],""highest_individual_official_pv_views"":157538446,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Chinozo"",""KAKEYAN""],""voice_synth_vocalists"":[""v flower""],""voice_synth_types"":{""v flower"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""Chinozo"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":67910},{""name"":""アルセチカ"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":77462},{""name"":""KAKEYAN"",""artist_type"":""Producer"",""roles"":[""instrumentalist""],""is_support"":false,""vocadb_artist_id"":65914},{""name"":""v flower"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":21165}],""qualification_method"":""single_official_original_youtube_pv""}"
4,ECHO,Crusher,"[""V3 GUMI (English)"",""MystSaphyr"",""CircusP""]",,2014-10-08T00:00:00Z,2014,[],"[""und""]",,,,,,,youtube_views,128330709.0,views,,,128330709,,,,,https://www.youtube.com/watch?v=cQKGUgOfD8U,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":68814,""vocadb_url"":""https://vocadb.net/S/68814"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":1608,""youtube_video_id"":""cQKGUgOfD8U"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Crusher-P"",""official_youtube_pv_count"":5,""official_youtube_resolved_pv_count"":5,""official_youtube_total_views"":129665526,""official_youtube_pvs"":[{""video_id"":""cQKGUgOfD8U"",""views"":128330709,""author"":""Crusher-P"",""url"":""https://youtu.be/cQKGUgOfD8U""},{""video_id"":""P6QMNxgtdjM"",""views"":646487,""author"":""Various Artists - Topic"",""url"":""https://youtu.be/P6QMNxgtdjM""},{""video_id"":""HNQhNY_ks2I"",""views"":470754,""author"":""CIRCRUSH(CircusP+Crusher-P) - Topic"",""url"":""https://youtu.be/HNQhNY_ks2I""},{""video_id"":""Bn59Gdno_w8"",""views"":216338,""author"":""CIRCRUSH - Topic"",""url"":""https://youtu.be/Bn59Gdno_w8""},{""video_id"":""0D8CajzsJVk"",""views"":1238,""author"":""CIRCRUSH(CircusP+Crusher-P) - Topic"",""url"":""https://youtu.be/0D8CajzsJVk""}],""highest_individual_official_pv_views"":128330709,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Crusher"",""MystSaphyr"",""CircusP""],""voice_synth_vocalists"":[""V3 GUMI (English)""],""voice_synth_types"":{""V3 GUMI (English)"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""Crusher"",""artist_type"":""Producer"",""roles"":[""arranger"",""illustrator""],""is_support"":false,""vocadb_artist_id"":13552},{""name"":""V3 GUMI (English)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":4634},{""name"":""MystSaphyr"",""artist_type"":""Producer"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":13192},{""name"":""CircusP"",""artist_type"":""Producer"",""roles"":[""mastering"",""mixer""],""is_support"":false,""vocadb_artist_id"":919},{""name"":""CIRCRUSH"",""artist_type"":""OtherGroup"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":26694}],""qualification_method"":""single_official_original_youtube_pv""}"
5,テトリス,柊マグネタイト,"[""重音テトSV""]",,2024-11-08T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,127681094.0,views,,,127681094,,,,,https://www.youtube.com/watch?v=Soy4jGPHr3g,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":696221,""vocadb_url"":""https://vocadb.net/S/696221"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":629,""youtube_video_id"":""Soy4jGPHr3g"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""柊マグネタイト"",""official_youtube_pv_count"":2,""official_youtube_resolved_pv_count"":2,""official_youtube_total_views"":166410327,""official_youtube_pvs"":[{""video_id"":""Soy4jGPHr3g"",""views"":127681094,""author"":""柊マグネタイト"",""url"":""https://youtu.be/Soy4jGPHr3g""},{""video_id"":""L2TrIJsTKHk"",""views"":38729233,""author"":""柊マグネタイト - Topic"",""url"":""https://youtu.be/L2TrIJsTKHk""}],""highest_individual_official_pv_views"":127681094,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""柊マグネタイト""],""voice_synth_vocalists"":[""重音テトSV""],""voice_synth_types"":{""重音テトSV"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""柊マグネタイト"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":83243},{""name"":""重音テトSV"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":118397},{""name"":""瀬奈悠太"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":83337}],""qualification_method"":""single_official_original_youtube_pv""}"
6,モニタリング,DECO*27,"[""初音ミク"",""Hayato Yamamoto""]",,2024-11-22T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,125711925.0,views,,,125711925,,,,,https://www.youtube.com/watch?v=kbNdx0yqbZE,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":668055,""vocadb_url"":""https://vocadb.net/S/668055"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":1261,""youtube_video_id"":""kbNdx0yqbZE"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""DECO*27"",""official_youtube_pv_count"":3,""official_youtube_resolved_pv_count"":3,""official_youtube_total_views"":160531938,""official_youtube_pvs"":[{""video_id"":""kbNdx0yqbZE"",""views"":125711925,""author"":""DECO*27"",""url"":""https://youtu.be/kbNdx0yqbZE""},{""video_id"":""OjoLYGcbJcI"",""views"":34690880,""author"":""DECO*27 - Topic"",""url"":""https://youtu.be/OjoLYGcbJcI""},{""video_id"":""76aPcVSadQU"",""views"":129133,""author"":""DECO*27 - Topic"",""url"":""https://youtu.be/76aPcVSadQU""}],""highest_individual_official_pv_views"":125711925,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""DECO*27"",""Hayato Yamamoto""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""DECO*27"",""artist_type"":""Producer"",""roles"":[""arranger"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":45},{""name"":""OTOIRO"",""artist_type"":""Circle"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":74679},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""Hayato Yamamoto"",""artist_type"":""Producer"",""roles"":[""arranger""],""is_support"":false,""vocadb_artist_id"":135037},{""name"":""Crypton Future Media"",""artist_type"":""Label"",""roles"":[""default""],""is_support"":true,""vocadb_artist_id"":25},{""name"":""1024"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":112353},{""name"":""akka"",""artist_type"":""Illustrator"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":2885},{""name"":""Composite Team"",""artist_type"":null,""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":null},{""name"":""GA"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":71175},{""name"":""けへ"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":112356},{""name"":""マカリア"",""artist_type"":""OtherGroup"",""roles"":[""animator"",""illustrator""],""is_support"":false,""vocadb_artist_id"":149789},{""name"":""袈裟丸えみ"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":149790},{""name"":""Mitsumi Yanokawa"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":149791},{""name"":""yuka fujii"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":112354},{""name"":""Rui Takahara"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156983},{""name"":""Yuhi Seki"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156984},{""name"":""なくり"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156985},{""name"":""勝俣翔"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156986},{""name"":""橙瀬あんず"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156987},{""name"":""白木メラ"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156988},{""name"":""貴夏"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156989},{""name"":""高尾夏"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":156990}],""qualification_method"":""single_official_original_youtube_pv""}"
7,ラビットホール,DECO*27,"[""初音ミク"",""tepe""]",,2023-05-19T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,122017159.0,views,,,122017159,,,,,https://www.youtube.com/watch?v=eSW2LVbPThw,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":500519,""vocadb_url"":""https://vocadb.net/S/500519"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":887,""youtube_video_id"":""eSW2LVbPThw"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""DECO*27"",""official_youtube_pv_count"":3,""official_youtube_resolved_pv_count"":3,""official_youtube_total_views"":162954668,""official_youtube_pvs"":[{""video_id"":""eSW2LVbPThw"",""views"":122017159,""author"":""DECO*27"",""url"":""https://youtu.be/eSW2LVbPThw""},{""video_id"":""MTXs3LIAE24"",""views"":40879941,""author"":""DECO*27 - Topic"",""url"":""https://youtu.be/MTXs3LIAE24""},{""video_id"":""7zA4QunlGYg"",""views"":57568,""author"":""DECO*27 - Topic"",""url"":""https://youtu.be/7zA4QunlGYg""}],""highest_individual_official_pv_views"":122017159,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""DECO*27"",""tepe""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""DECO*27"",""artist_type"":""Producer"",""roles"":[""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":45},{""name"":""tepe"",""artist_type"":""Producer"",""roles"":[""arranger""],""is_support"":false,""vocadb_artist_id"":104775},{""name"":""OTOIRO"",""artist_type"":""Circle"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":74679},{""name"":""yuka fujii"",""artist_type"":""Illustrator"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":112354},{""name"":""おむたつ"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":3181},{""name"":""lowpolydog"",""artist_type"":""Illustrator"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":83277},{""name"":""あわしま"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3288},{""name"":""Yuma Saito"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3327},{""name"":""Naoki Hasegawa"",""artist_type"":""Animator"",""roles"":[""default""],""is_support"":true,""vocadb_artist_id"":154790},{""name"":""Iori Majima"",""artist_type"":null,""roles"":[""other""],""is_support"":false,""vocadb_artist_id"":null},{""name"":""佐藤悠介"",""artist_type"":""OtherIndividual"",""roles"":[""other""],""is_support"":false,""vocadb_artist_id"":156991}],""qualification_method"":""single_official_original_youtube_pv""}"
8,愛して愛して愛して,きくお,"[""初音ミク""]",,2013-03-15T00:00:00Z,2013,[],"[""und""]",,,,,,,youtube_views,121331572.0,views,,,121331572,,,,,https://www.youtube.com/watch?v=NTrm_idbhUk,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":25667,""vocadb_url"":""https://vocadb.net/S/25667"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":1436,""youtube_video_id"":""NTrm_idbhUk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Kikuo"",""official_youtube_pv_count"":2,""official_youtube_resolved_pv_count"":2,""official_youtube_total_views"":137052485,""official_youtube_pvs"":[{""video_id"":""NTrm_idbhUk"",""views"":121331572,""author"":""Kikuo"",""url"":""https://youtu.be/NTrm_idbhUk""},{""video_id"":""KxNOBCyGhnk"",""views"":15720913,""author"":""Kikuo - Topic"",""url"":""https://youtu.be/KxNOBCyGhnk""}],""highest_individual_official_pv_views"":121331572,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""きくお""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""きくお"",""artist_type"":""Producer"",""roles"":[""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":470},{""name"":""赤卵"",""artist_type"":""Animator"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":12899},{""name"":""さしみやま"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":33764}],""qualification_method"":""single_official_original_youtube_pv""}"
9,強風オールバック,ゆこぴ,"[""歌愛ユキ""]",,2023-03-15T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,116796614.0,views,,,116796614,,,,,https://www.youtube.com/watch?v=D6DVTLvOupE,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":482572,""vocadb_url"":""https://vocadb.net/S/482572"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":635,""youtube_video_id"":""D6DVTLvOupE"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Yukopi"",""official_youtube_pv_count"":2,""official_youtube_resolved_pv_count"":2,""official_youtube_total_views"":123808203,""official_youtube_pvs"":[{""video_id"":""D6DVTLvOupE"",""views"":116796614,""author"":""Yukopi"",""url"":""https://youtu.be/D6DVTLvOupE""},{""video_id"":""hUmfOCeyyik"",""views"":7011589,""author"":""Yukopi - Topic"",""url"":""https://youtu.be/hUmfOCeyyik""}],""highest_individual_official_pv_views"":116796614,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ゆこぴ""],""voice_synth_vocalists"":[""歌愛ユキ""],""voice_synth_types"":{""歌愛ユキ"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""ゆこぴ"",""artist_type"":""Producer"",""roles"":[""animator"",""arranger"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":72061},{""name"":""歌愛ユキ"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":191},{""name"":""小津"",""artist_type"":""Illustrator"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":76204}],""qualification_method"":""single_official_original_youtube_pv""}"
10,きゅうくらりん,いよわ,"[""可不""]",,2021-08-29T00:00:00Z,2021,[],"[""und""]",,,,,,,youtube_views,115199734.0,views,,,115199734,,,,,https://www.youtube.com/watch?v=2b1IexhKPz4,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":349763,""vocadb_url"":""https://vocadb.net/S/349763"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":1375,""youtube_video_id"":""2b1IexhKPz4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""いよわ/ iyowa"",""official_youtube_pv_count"":3,""official_youtube_resolved_pv_count"":3,""official_youtube_total_views"":137586476,""official_youtube_pvs"":[{""video_id"":""2b1IexhKPz4"",""views"":115199734,""author"":""いよわ/ iyowa"",""url"":""https://youtu.be/2b1IexhKPz4""},{""video_id"":""75hkKzWnOTc"",""views"":11882090,""author"":""Iyowa - Topic"",""url"":""https://youtu.be/75hkKzWnOTc""},{""video_id"":""JMAJS_s99Ho"",""views"":10504652,""author"":""Iyowa - Topic"",""url"":""https://youtu.be/JMAJS_s99Ho""}],""highest_individual_official_pv_views"":115199734,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""いよわ""],""voice_synth_vocalists"":[""可不""],""voice_synth_types"":{""可不"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""いよわ"",""artist_type"":""Producer"",""roles"":[""animator"",""arranger"",""composer"",""illustrator"",""lyricist""],""is_support"":false,""vocadb_artist_id"":65229},{""name"":""可不"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":83928}],""qualification_method"":""single_official_original_youtube_pv""}"
11,BUTCHER VANITY,Vane Lily,"[""奕夕"",""Jamie Paige"",""rice""]",,2024-03-28T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,109803921.0,views,,,109803921,,,,,https://www.youtube.com/watch?v=vjBFftpQxxM,2026-07-26,"VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. This row qualifies because one enabled official Original YouTube PV independently has at least 100,000,000 official API views; PV counts are never summed to qualify.","{""vocadb_id"":605339,""vocadb_url"":""https://vocadb.net/S/605339"",""vocadb_song_type"":""Original"",""vocadb_status"":""Approved"",""vocadb_rating_score"":1305,""youtube_video_id"":""vjBFftpQxxM"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Vane Lily"",""official_youtube_pv_count"":5,""official_youtube_resolved_pv_count"":5,""official_youtube_total_views"":130618206,""official_youtube_pvs"":[{""video_id"":""vjBFftpQxxM"",""views"":109803921,""author"":""Vane Lily"",""url"":""https://youtu.be/vjBFftpQxxM""},{""video_id"":""o4dxH06Jgp0"",""views"":15968152,""author"":""Vane Lily - Topic"",""url"":""https://youtu.be/o4dxH06Jgp0""},{""video_id"":""M5mIYZbYL_4"",""views"":4584291,""author"":""FLAVOR FOLEY - Topic"",""url"":""https://youtu.be/M5mIYZbYL_4""},{""video_id"":""R7E9Q_Ot9M8"",""views"":184769,""author"":""FLAVOR FOLEY - Topic"",""url"":""https://youtu.be/R7E9Q_Ot9M8""},{""video_id"":""WvHg7jSDN4A"",""views"":77073,""author"":""FLAVOR FOLEY - Topic"",""url"":""https://youtu.be/WvHg7jSDN4A""}],""highest_individual_official_pv_views"":109803921,""qualification_threshold_views"":100000000,""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Vane Lily"",""Jamie Paige"",""rice""],""voice_synth_vocalists"":[""奕夕""],""voice_synth_types"":{""奕夕"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""奕夕"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":132680},{""name"":""Vane Lily"",""artist_type"":""Producer"",""roles"":[""arranger"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":57128},{""name"":""Jamie Paige"",""artist_type"":""Producer"",""roles"":[""arranger"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":23155},{""name"":""rice"",""artist_type"":""Producer"",""roles"":[""animator"",""composer"",""illustrator"",""instrumentalist"",""lyricist""],""is_support"":false,""vocadb_artist_id"":69939},{""name"":""FLAVOR FOLEY"",""artist_type"":""Circle"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":136284}],""qualification_method"":""single_official_original_youtube_pv""}"
