rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Henceforth(Orangestar) / Hebi. cover,Hebi.,[],,2020-06-10,2020,[],"[""und""]",,,,,Hebi.,False,youtube_views,66260114.0,views,,,66260114,,,,,https://www.youtube.com/watch?v=yXl5D2B8nKk,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""yXl5D2B8nKk"",""holodex_topic"":""Music_Cover"",""mentions"":[]}"
2,フォニイ / 星街すいせい(Cover),Hoshimachi Suisei,[],,2021-11-26,2021,[],"[""und""]",,,,,Hoshimachi Suisei,False,youtube_views,65934236.0,views,,,65934236,,,,,https://www.youtube.com/watch?v=N029UUlH1Dc,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""N029UUlH1Dc"",""holodex_topic"":""Music_Cover"",""mentions"":[]}"
3,【】歌ってみた KING 葛葉 【】,Kuzuha,[],,2020-11-10,2020,[],"[""und""]",,,,,Kuzuha,False,youtube_views,59704322.0,views,,,59704322,,,,,https://www.youtube.com/watch?v=oPAcjv__fbc,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""oPAcjv__fbc"",""holodex_topic"":""Music_Cover"",""mentions"":[]}"
4,DOGLAND / VACHSS Cover,Fuwa Minato,[],,2023-04-18,2023,[],"[""und""]",,,,,Fuwa Minato,False,youtube_views,53008307.0,views,,,53008307,,,,,https://www.youtube.com/watch?v=rG8K7Z5gaTI,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""rG8K7Z5gaTI"",""holodex_topic"":""Music_Cover"",""mentions"":[""Kanae"",""Kagami Hayato"",""Kenmochi Toya"",""Yumeoi Kakeru"",""Kuzuha""]}"
5,今はいいんだよ。 / MIMI,HaKoniwalily,[],,2023-01-24,2023,[],"[""und""]",,,,,HaKoniwalily,False,youtube_views,51904890.0,views,,,51904890,,,,,https://www.youtube.com/watch?v=PgCc3OMrS8c,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""PgCc3OMrS8c"",""holodex_topic"":""Music_Cover"",""mentions"":[""HaKoniwalily""]}"
6,【おちゃめ機能】ホロライブが吹っ切れた【24人で歌ってみた】,hololive VTuber Group,[],,2020-04-06,2020,[],"[""und""]",,,,,hololive VTuber Group,False,youtube_views,51098988.0,views,,,51098988,,,,,https://www.youtube.com/watch?v=9kQ2GtvDV3s,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""9kQ2GtvDV3s"",""holodex_topic"":""Music_Cover"",""mentions"":[""Ookami Mio"",""Aki Rosenthal"",""Amane Kanata"",""Nekomata Okayu"",""Tokoyami Towa"",""Yozora Mel"",""Hoshimachi Suisei"",""Uruha Rushia"",""Houshou Marine"",""Oozora Subaru"",""Tokino Sora"",""Yuzuki Choco"",""Robocosan"",""Tsunomaki Watame"",""AZKi"",""Shirogane Noel"",""Shiranui Flare"",""Minato Aqua"",""Himemori Luna"",""Usada Pekora"",""Natsuiro Matsuri"",""Sakura Miko"",""Nakiri Ayame"",""Murasaki Shion""]}"
7,KING / Gawr Gura x Calliope Mori (Cover),Mori Calliope,[],,2021-09-01,2021,[],"[""und""]",,,,,Mori Calliope,False,youtube_views,45779396.0,views,,,45779396,,,,,https://www.youtube.com/watch?v=qNIhngowViI,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""qNIhngowViI"",""holodex_topic"":""Music_Cover"",""mentions"":[""Mori Calliope""]}"
8,S.C.R.E.A.M  / Covered by 小柳ロウ×星導ショウ×緋八マナ,Koyanagi Rou,[],,2023-10-31,2023,[],"[""und""]",,,,,Koyanagi Rou,False,youtube_views,42892426.0,views,,,42892426,,,,,https://www.youtube.com/watch?v=caeQsPkros8,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""caeQsPkros8"",""holodex_topic"":""Music_Cover"",""mentions"":[""Hibachi Mana"",""Hoshirube Sho""]}"
9,グッバイ宣言 / 百鬼あやめ cover,Nakiri Ayame,[],,2021-05-22,2021,[],"[""und""]",,,,,Nakiri Ayame,False,youtube_views,38926388.0,views,,,38926388,,,,,https://www.youtube.com/watch?v=z1W4c7ym49Y,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""z1W4c7ym49Y"",""holodex_topic"":""Music_Cover"",""mentions"":[]}"
10,パーペキヒーロー/MECHATU-A,Hoshirube Sho,[],,2023-09-30,2023,[],"[""und""]",,,,,Hoshirube Sho,False,youtube_views,35311399.0,views,,,35311399,,,,,https://www.youtube.com/watch?v=y9Q8JkJARfI,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""y9Q8JkJARfI"",""holodex_topic"":""Music_Cover"",""mentions"":[""Saiki Ittetsu"",""Inami Rai"",""Usami Rito"",""Akagi Wen"",""Murakumo Kagetsu"",""Koyanagi Rou"",""Hibachi Mana""]}"
