rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,ビビデバ / 星街すいせい(official),Hoshimachi Suisei,[],,2024-03-22,2024,[],"[""und""]",,,,,Hoshimachi Suisei,True,youtube_views,181045648.0,views,,,181045648,,,,,https://www.youtube.com/watch?v=8ZP5eqm4JqM,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""8ZP5eqm4JqM"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
2,粛聖!! ロリ神レクイエム☆ / しぐれうい(9さい)【IOSYS(まろん&D.watt)】,Shigure Ui,[],,2023-09-10,2023,[],"[""und""]",,,,,Shigure Ui,True,youtube_views,147058515.0,views,,,147058515,,,,,https://www.youtube.com/watch?v=Ci_zad39Uhw,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""Ci_zad39Uhw"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
3,【MV】シル・ヴ・プレジデント/P丸様。【大統領になったらね!】,Pmaru-sama,[],,2021-03-17,2021,[],"[""und""]",,,,,Pmaru-sama,True,youtube_views,109877736.0,views,,,109877736,,,,,https://www.youtube.com/watch?v=3V9952osjnc,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""3V9952osjnc"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
4,【GUMI】KING【Kanaria】,Kanaria,[],,2020-08-02,2020,[],"[""und""]",,,,,Kanaria,True,youtube_views,106490726.0,views,,,106490726,,,,,https://www.youtube.com/watch?v=cm-l2h6GB8Q,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""cm-l2h6GB8Q"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
5,"【239】[feat. 花譜, ツミキ] トウキョウ・シャンディ・ランデヴ / MAISONdes",KAF,[],,2022-11-03,2022,[],"[""und""]",,,,,KAF,True,youtube_views,80536475.0,views,,,80536475,,,,,https://www.youtube.com/watch?v=NFMmSOWPj_k,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""NFMmSOWPj_k"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
6,美少女無罪♡パイレーツ【hololive/宝鐘マリン】,Houshou Marine,[],,2023-07-30,2023,[],"[""und""]",,,,,Houshou Marine,True,youtube_views,67117801.0,views,,,67117801,,,,,https://www.youtube.com/watch?v=KfZR9jVP6tw,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""KfZR9jVP6tw"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
7,【GUMI】酔いどれ知らず【Kanaria】,Kanaria,[],,2022-05-02,2022,[],"[""und""]",,,,,Kanaria,True,youtube_views,61199466.0,views,,,61199466,,,,,https://www.youtube.com/watch?v=vB8sxY_PJ_w,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""vB8sxY_PJ_w"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
8,III【hololive/宝鐘マリン&こぼ・かなえる】,Kobo Kanaeru,[],,2024-05-03,2024,[],"[""und""]",,,,,Kobo Kanaeru,True,youtube_views,60905467.0,views,,,60905467,,,,,https://www.youtube.com/watch?v=lUDPjyfmJrs,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""lUDPjyfmJrs"",""holodex_topic"":""Original_Song"",""mentions"":[""Kobo Kanaeru""]}"
9,I'm Your Treasure Box *あなたは マリンせんちょうを たからばこからみつけた。【hololive/宝鐘マリン】,Houshou Marine,[],,2022-07-30,2022,[],"[""und""]",,,,,Houshou Marine,True,youtube_views,60876950.0,views,,,60876950,,,,,https://www.youtube.com/watch?v=vV-5W7SFHDc,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""vV-5W7SFHDc"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
10,Stellar Stellar / 星街すいせい(official),Hoshimachi Suisei,[],,2021-10-08,2021,[],"[""und""]",,,,,Hoshimachi Suisei,True,youtube_views,55908726.0,views,,,55908726,,,,,https://www.youtube.com/watch?v=a51VH9BYzZA,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""a51VH9BYzZA"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
11,Cry For Me WA WA WA,ironmouse,[],,2026-01-07,2026,[],"[""und""]",,,,,ironmouse,True,youtube_views,55249904.0,views,,,55249904,,,,,https://www.youtube.com/watch?v=tupuZFm3jo8,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""tupuZFm3jo8"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
12,理芽 - 食虫植物 / RIM - Carnivorous Plant (Official Music Video),RIM,[],,2020-01-03,2020,[],"[""und""]",,,,,RIM,True,youtube_views,53109278.0,views,,,53109278,,,,,https://www.youtube.com/watch?v=F9eCSWEJYjk,2026-09-11,Classified by Holodex; view count from official YouTube Data API.,"{""holodex_video_id"":""F9eCSWEJYjk"",""holodex_topic"":""Original_Song"",""mentions"":[]}"
